property_name,address,postal_code,property_type,year_built,floor_area_m2,site_energy_gj,site_eui_gj_per_m2,ghg_tco2e,energy_star_score,year
Acadia Aquatic & Fitness Centre,9009 Fairmount Dr SE,T2H 0Z4,Heated Swimming Pool,2010,1838.0,6780.7,3.69,453.09,,2024
Ad Valorem,2924 11 ST NE,t2e7l7,Office,1981,7770.0,8718.3,1.12,739.65,40.0,2024
Alberta Trade Centre,315 10 AV SE,T2G 0W2,Office,1974,6681.0,4092.4,0.61,428.47,83.0,2024
Andrew Davison,133 6 AV SE,T2G0G2,Office,1979,17468.0,12583.9,0.72,1236.73,82.0,2024
Animal Services Centre,2201 PORTLAND ST SE,T2G 4M7,Office,2000,2142.6,6757.9,3.15,480.59,1.0,2024
Apparatus Repair Shop and Spare Apparatus Shop,1725 18 AV NE,T2N 2H8,Vehicle Repair Services,2011,6632.0,5962.0,0.9,468.48,,2024
Beltline Aquatic & Fitness Centre,221 12 Av SW,T2R 0G9,Fitness Center/Health Club/Gym,1988,1806.5,3237.3,1.79,219.23,,2024
Bob Bohan Aquatic and Fitness Centre,4812 14 Av SE,T2AoK9,Heated Swimming Pool,1976,1641.2,5497.2,3.35,338.88,,2024
Bowmont Civic Building,5000 Bowness Civic Building,T3B 0B9,Office,1974,832.0,617.2,0.74,48.18,78.0,2024
Calgary Public Building,205 8 AV SE,T2G0K7,Office,1931,15195.0,7718.9,0.51,704.75,96.0,2024
Calgary Soccer Centre and Annex,7000 48 ST SE,T2C 4E1,Indoor Arena,1990,16258.0,17631.4,1.08,1247.25,,2024
Canyon Meadows Aquatic & Fitness Centre,89 Canova Rd SW,T2W 6G3,Fitness Center/Health Club/Gym,1963,1953.1,7179.8,3.68,453.35,,2024
Corporate Warehouse,2340 22 ST NE,T2E 8L9,Non-Refrigerated Warehouse,1985,10640.0,6668.3,0.63,451.6,81.0,2024
Corral Operations Depot,5510 23 AV SE,T2B 3E2,Other - Public Services,2001,260.1,507.4,1.95,46.65,,2024
Dartmouth Place,480 36 AV SE,T2G1W5,Office,1978,3664.9,3055.8,0.83,234.38,78.0,2024
East Calgary WMF Building S and T,3030 68 St SE,T2B0M5,Vehicle Repair Services,2014,9891.1,13351.4,1.35,834.73,,2024
Emergency Operations Centre,673 1 ST NE,T2E6R2,Office,2012,5213.2,19521.3,3.74,2238.91,1.0,2024
EMS #15,5010 BOWNESS RD NW,T3B 0B9,Other - Public Services,1975,419.6,628.0,1.5,42.05,,2024
EMS #3,1807 MACLEOD TR SE,T2G2N9,Fire Station,1912,1508.1,2075.4,1.38,160.24,,2024
EMS #4,16 MONCTON RD NE,T2E 5R1,Other - Public Services,1975,1069.8,1095.7,1.02,82.29,,2024
EMS #5,4824 4 ST NW,T2K 6K8,Fire Station,1994,378.5,320.7,0.85,22.38,,2024
EMS #6,1940 WESTMOUNT BV NW,T2N 3G8,Other - Public Services,1964,425.1,890.4,2.1,51.81,,2024
Ernie Star Arena,4808 14 Av SE,T2A0K9,Ice/Curling Rink,1970,3884.0,4735.4,1.22,376.02,47.0,2024
Fire Headquarters,4144 11 ST SE,T2G 3H2,Office,2017,5223.0,3889.2,0.74,345.77,,2024
Fire Station #1,450 1 ST SE,T2G 5E3,Fire Station,1973,1637.5,1850.7,1.13,142.73,,2024
Fire Station #10,1909 16 AV NW,T2M 4V8,Fire Station,1996,1758.8,1249.2,0.71,98.33,,2024
Fire Station #11,5506 4 ST SW,T3E1P1,Fire Station,2014,2319.5,2276.6,0.98,189.03,,2024
Fire Station #12,123 44 ST SE,T2A 3E2,Fire Station,1973,971.9,1141.4,1.17,92.1,,2024
Fire Station #14,9840 Horton Rd SW,T2V 5H5,Fire Station,1989,963.3,886.3,0.92,70.94,,2024
Fire Station #15,6328 35 AV NW,T3B 1S4,Fire Station,1961,793.1,720.0,0.91,58.56,,2024
Fire Station #16,4124 11 ST SE,T2G 3H2,Fire Station,1988,4111.0,5288.4,1.29,428.54,,2024
Fire Station #18,415 68 Ave NW,T2K 5J6,Fire Station,1975,1057.1,923.9,0.87,67.78,,2024
Fire Station #19,13807 Parkland Blvd SE,T2J 6X3,Fire Station,1975,1066.2,1080.0,1.01,80.08,,2024
Fire Station #2,1010 10 AV SW,T2R1M4,Fire Station,1975,1669.9,1931.4,1.16,144.21,,2024
Fire Station #20,2800 PEACEKEEPERS WY SW,T3E 7B2,Fire Station,1977,1101.1,1313.9,1.19,96.43,,2024
Fire Station #21,209 Silvergrove Dr NW,T3B 5A4,Fire Station,1977,1095.2,1534.3,1.4,126.75,,2024
Fire Station #22,7199 Temple Dr NE,T1Y 4Z4,Fire Station,1979,1104.6,1193.9,1.08,90.01,,2024
Fire Station #23,2727 26 AV SE,T1Y 4Z4,Fire Station,1950,1112.1,1363.8,1.23,102.13,,2024
Fire Station #24,2607 106 AV SW,T2W 4H7,Fire Station,1978,1108.1,1046.5,0.94,80.55,,2024
Fire Station #25,4705 76 AV SE,T2C 2X1,Fire Station,1982,1108.1,1256.3,1.13,90.94,,2024
Fire Station #28,7925 EDGEMONT BV NW,T3A 4M8,Fire Station,1987,945.1,1301.9,1.38,104.22,,2024
Fire Station #29,7027 COACH HILL RD SW,T3H 3R7,Fire Station,1988,927.8,1113.9,1.2,84.67,,2024
Fire Station #30,6 MCKENZIE TOWNE GA SE,T2Z 0N2,Fire Station,1998,1317.0,1685.7,1.28,132.04,,2024
Fire Station #33,3800 69 ST SW,T3H 3E4,Fire Station,2009,1907.7,1848.0,0.97,136.3,,2024
Fire Station #34,16 Royal Vista Way NW,T3R0N2,Fire Station,2015,2257.9,3388.3,1.5,256.44,,2024
Fire Station #35,11280 VALLEY RIDGE BV NW,T3B 5Y6,Fire Station,2009,1669.5,2121.3,1.27,146.35,,2024
Fire Station #36,10071 HIDDEN VALLEY DR NW,T3A 5G1,Fire Station,1988,204.4,306.3,1.5,22.82,,2024
Fire Station #37,2511 Eversyde Ave SW,T2Y 5G9,Fire Station,2013,1668.4,2350.1,1.41,185.48,,2024
Fire Station #39,4199 114 AV SE,T2Z 0H3,Fire Station,2012,1842.2,2557.8,1.39,197.7,,2024
Fire Station #4,1991 18 AV NE,T2E8E1,Fire Station,2003,1385.4,1677.2,1.21,123.28,,2024
Fire Station #40,12920 Symons Valley Rd NW,T3P 0A3,Fire Station,2013,1487.6,1866.4,1.25,139.89,,2024
Fire Station #41,3790 SETON DR SE,T3M 0M2,Fire Station,2014,2129.0,3192.4,1.5,230.49,,2024
Fire Station #42,275 Tuscany Way NW,T3L 2Y8,Fire Station,2018,1459.3,1744.3,1.2,139.85,,2024
Fire Station #5,3129 14 ST SW,T2T3V8,Fire Station,2012,2110.4,2475.2,1.17,183.66,,2024
Fire Station #7,2708 4 ST NW,T2M 3A3,Fire Station,2016,1895.2,1722.2,0.91,122.38,,2024
Fire Station #8,1720 45 ST SW,T3C 2C3,Fire Station,1979,1132.7,1403.5,1.24,106.73,,2024
Fire Station #9,2515 78 AV SE,T2C 3B7,Fire Station,1978,1072.2,1210.8,1.13,94.8,,2024
Foothills Aquatic Centre and Bauer and Bush Arenas,2424 University DR NW,T2N 3Y9,Ice/Curling Rink,1963,8558.0,28909.2,3.38,2247.24,,2024
Forest Lawn Building,3810 17 AV SE,T2A0S4,Office,1979,1189.5,1089.4,0.92,89.25,59.0,2024
Frank Mccool Arena,1900 Lake Bonavista Dr SE,T2J 4B5,Ice/Curling Rink,1975,2295.5,7020.7,3.06,534.95,13.0,2024
Georgina Thompson Building,772 Northmount Dr NW,T2L0A2,Office,1990,540.0,489.5,0.91,37.14,59.0,2024
Glenmore Aquatic Centre,5330 19 St SW,T3E 1P2,Heated Swimming Pool,1972,1462.8,9422.7,6.44,627.23,,2024
