incident_info,description,start_dt,quadrant,longitude,latitude,incident_count
 16 Avenue and 109 Street NW ,Traffic incident. Blocking the left lane,2025-12-31 23:24:45,NW,-114.24875077617234,51.08845567527262,1
 Falshire Drive and Falconridge Boulevard NE ,Traffic incident.,2025-12-31 22:29:01,NE,-113.949832548484,51.10672496974937,1
 Crowchild Trail and 5 Avenue NW ,Multi-vehicle incident. Blocking the NB right lane,2025-12-31 21:42:12,NW,-114.11790210572772,51.05751856692223,1
 53 Street and Crowchild Trail NW ,Traffic incident.,2025-12-31 17:44:02,NW,-114.16577371088218,51.10448570326472,1
 52 Street north of Country Hills Boulevard NE ,Traffic incident.,2025-12-31 17:23:49,NE,-113.95832278035734,51.15487166312284,1
 Bridleridge Wy and Bridleglen Mr SW ,Traffic incident.,2025-12-31 16:43:46,SW,-114.11053655340432,50.90563800983685,1
 23 Street and 35 Avenue NE ,Traffic incident.,2025-12-31 15:07:48,NE,-114.0051240099946,51.08392796471677,1
 Northbound Deerfoot Trail and Stoney Trail NE ,Traffic incident.,2025-12-31 06:54:49,NE,-114.00099899429004,51.180127386172025,1
 52 Street and McIvor Boulevard SE ,Traffic incident.,2025-12-31 04:51:23,SE,-113.95218151001338,50.913036021941785,1
 16 Avenue and 49 Street NW ,Road is closed westbound between 49 St and Sarcee Tr,2025-12-31 04:00:00,NW,-114.16704024270128,51.07428480376269,1
 16 Avenue and Sarcee Trail NW ,One lane is closed eastbound between Sarcee Tr and Home Rd,2025-12-31 04:00:00,NW,-114.1890617557848,51.08035454710361,1
 16 Avenue and Home Road NW ,Road is closed westbound between Home Rd and Sarcee Tr,2025-12-31 04:00:00,NW,-114.16441112989412,51.07261698653032,1
 16 Avenue and Sarcee Trail NW ,Water main Breaks Work Road Closure in both directions,2025-12-31 03:58:14,NW,-114.18918747911836,51.08150700151132,1
 49 Street and 34 Avenue NW ,Traffic incident.,2025-12-31 02:38:37,NW,-114.15841193349232,51.08310895580976,1
 Westbound Bow Trail and Crowchild Trail SW ,Multi-vehicle incident. Blocking the right lane,2025-12-31 02:30:28,SW,-114.11320498660768,51.04291606959836,1
 Southbound Deerfoot Trail and 16 Avenue NE ,Two vehicle incident. Blocking the right lane,2025-12-31 01:20:27,NE,-114.0285645441459,51.06738599262929,1
 Shaganappi Trail and Sherwood Gate NW ,Traffic incident.,2025-12-31 01:13:34,NW,-114.14427295655273,51.16318196771687,1
 Northbound Stoney Trail and 80 Avenue NE  ,Traffic incident. Blocking the right lane,2025-12-31 00:00:18,NE,-113.92158145001204,51.12520496120756,1
 Hidden Vale Cl and Hidden Valley Drive NW ,Traffic incident.,2025-12-30 20:17:19,NW,-114.10411502893764,51.14526299454084,1
 Northbound Tsuutina Trail and 130 Avenue SW ,Traffic incident. Blocking the left lane,2025-12-30 19:51:18,SW,-114.14033133534213,50.93066751285786,1
 Eastbound Sun Valley Boulevard and Sunpark Gate SE ,Traffic incident.  Blocking the right lane,2025-12-30 17:22:27,SE,-114.0588850961512,50.90577913810638,1
 72 Avenue and 48 Street SE ,Traffic incident.,2025-12-30 17:07:47,SE,-113.96424144925848,50.989518044759706,1
 52 Street and McKenzie Towne Boulevard SE ,Traffic signals work in progress. Proceed with caution,2025-12-30 16:13:42,SE,-113.95872901197716,50.91831003725898,1
 96 Avenue and Deerfoot Trail NE ,Traffic incident.,2025-12-30 15:30:07,NE,-114.03982932691824,51.14176937435458,1
 Memorial Drive and Deerfoot Trail SE ,Traffic incident. Blocking the WB left lanes,2025-12-30 04:04:05,SE,-114.01882903269993,51.04904014179484,1
 Eastbound Country Hills Boulevard at Metis Trail NE ,Multi-vehicle incident. Blocking the left lane,2025-12-30 03:04:38,NE,-113.97232579262057,51.15403906551845,1
 Southbound Deerfoot Trail approaching Memorial Drive SE ,Traffic incident. Blocking the right exit lane on the SB ramp,2025-12-30 01:37:06,SE,-114.01936576880183,51.052601513196215,1
 Southbound Deerfoot Trail approaching Glenmore Trail SE ,Two vehicle incident. Blocking the right lane,2025-12-30 00:55:51,SE,-114.02887207678438,51.00508256512279,1
 Sunridge Boulevard west of Barlow Trail NE ,Traffic incident.,2025-12-30 00:07:58,NE,-114.00270866095286,51.07686476531176,1
 Southbound 36 Street approaching 5 Avenue NE ,Traffic incident. Blocking the SB left lanes,2025-12-30 00:01:50,NE,-113.98196150921788,51.05846436918771,1
 Northbound Stoney Trail at Country Hills Blvd Exit Ramp NE ,Traffic incident. Blocking the right lane,2025-12-29 23:49:34,NE,-113.9185474729967,51.15227270110866,1
 Aviation Boulevard at McKnight Boulevard NE ,Traffic incident. Blocking the SB right turn lane,2025-12-29 23:22:19,NE,-114.03362218130168,51.09641680765661,1
 Southbound Deerfoot Trail SE on the Calf Robe Bridge ,Single vehicle incident.  Blocking the right shoulder,2025-12-29 23:18:43,SE,-114.01517236181134,51.00871405648743,1
 40 Avenue at Shaganappi Trail NW ,Traffic incident.,2025-12-29 22:54:27,NW,-114.15585215327776,51.08824271508672,1
 Northbound 36 Street approaching Rundlehorn Drive NE ,Traffic incident.  Blocking the right lane,2025-12-29 22:42:10,NE,-113.9815173540964,51.06943902036891,1
 50 Avenue and 36 Street SE ,Traffic incident.,2025-12-29 20:19:12,SE,-113.97622649030906,51.008827332435104,1
 Northbound Macleod Trail onto Lake Fraser Drive SE ,Traffic incident.,2025-12-29 17:36:09,SE,-114.07044389189429,50.94619887314319,1
 Eastbound Glenmore Trail and Heritage Drive SE ,Traffic incident.  Blocking the right lane,2025-12-29 15:13:45,SE,-114.02900230976688,50.99000186209741,1
 Scurfield Drive and Scenic Acres Boulevard NW ,Traffic incident.,2025-12-29 13:52:21,NW,-114.2110509204837,51.11984940279651,1
