service_request_id,requested_date,updated_date,closed_date,status_description,service_name,comm_name,address,longitude,latitude
26-00654868,2026-08-27,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,LIVINGSTON,,-114.06550619776098,51.18553606435354
26-00655566,2026-08-27,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,CRESTMONT,,-114.26908259341312,51.08370240107075
26-00652173,2026-08-27,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,SOUTHVIEW,,-113.99733916298923,51.03415221323608
26-00655038,2026-08-27,2026-08-27T00:00:00.000,,Open,Roads - Streetlight Maintenance,RAMSAY,,-114.04253243760948,51.03641127911981
26-00650889,2026-08-26,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,QUEENSLAND,,-114.02257170606138,50.93822412104478
26-00651292,2026-08-26,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,WEST SPRINGS,,-114.20668628482738,51.05977296984733
26-00651738,2026-08-26,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,ROSEDALE,,-114.0782071332425,51.06268666565555
26-00651800,2026-08-26,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,VARSITY,,-114.162506759502,51.09605377080581
26-00651398,2026-08-26,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,SHAWNESSY,,-114.07397621253683,50.90337303234254
26-00651765,2026-08-26,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00651614,2026-08-26,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,BANKVIEW,,-114.10048318979052,51.03412752814332
26-00650168,2026-08-26,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00649652,2026-08-26,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00649600,2026-08-26,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00648928,2026-08-26,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00648711,2026-08-26,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,DISCOVERY RIDGE,,-114.2177187770391,51.016091532917656
26-00648672,2026-08-26,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,MIDNAPORE,,-114.05748430704033,50.91560245681909
26-00649626,2026-08-26,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Damage,WEST HILLHURST,,-114.11515850909426,51.05507951426751
26-00646798,2026-08-25,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,ABBEYDALE,,-113.92779834680348,51.059416705656574
26-00648344,2026-08-25,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,COACH HILL,,-114.1829796051888,51.05838582571806
26-00648314,2026-08-25,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,EVANSTON,,-114.11219163730428,51.17121818734047
26-00648293,2026-08-25,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,DOUGLASDALE/GLEN,,-114.01190805579247,50.94844437258388
26-00648277,2026-08-25,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,BANFF TRAIL,,-114.11512839717008,51.07420696879508
26-00648255,2026-08-25,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,TUXEDO PARK,,-114.06104493215648,51.07421777221349
26-00648019,2026-08-25,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,MISSION,,-114.06808259035856,51.033157759251445
26-00645670,2026-08-25,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,FAIRVIEW,,-114.0603609439821,50.98538212195565
26-00646711,2026-08-25,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00646385,2026-08-25,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,MACEWAN GLEN,,-114.11521349389096,51.13771903702536
26-00646109,2026-08-25,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,HUNTINGTON HILLS,,-114.06670855606806,51.11758074861446
26-00645945,2026-08-25,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,DALHOUSIE,,-114.15815535928552,51.10940993799306
26-00644810,2026-08-25,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00647754,2026-08-25,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Damage,WILDWOOD,,-114.15853861691733,51.0582582482502
26-00644706,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,CORNERSTONE,,-113.9305705256274,51.15735996767518
26-00644623,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Damage,RANCHLANDS,,-114.18364711110482,51.11917908296843
26-00643748,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,QUEENSLAND,,-114.02257170606138,50.93822412104478
26-00644778,2026-08-24,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,HIDDEN VALLEY,,-114.11960923256338,51.15193708483775
