permitnum,address,category,description,statuscurrent,applieddate,decisiondate,communityname,ward,quadrant,latitude,longitude,srg,sector
DP2013-1370,720 BRIDGE CR NE,Residential - New Single / Semi / Duplex,NEW: SEMI-DETACHED DWELLING,Pending Release,2013-04-04T00:00:00.000,2014-05-15T00:00:00.000,RENFREW,9.0,NE,51.05748358036926,-114.04647361237092,ESTABLISHED,CENTRE
DP2015-0900,1824 CAYUGA DR NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2015-03-11T00:00:00.000,2015-06-19T00:00:00.000,COLLINGWOOD,4.0,NW,51.09011890723067,-114.10258064222712,ESTABLISHED,NORTHWEST
DP2015-2515,921 41 ST SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2015-06-15T00:00:00.000,2015-07-24T00:00:00.000,ROSSCARROCK,8.0,SW,51.044267346277344,-114.14707672038546,ESTABLISHED,WEST
DP2015-3123,139 20 AV NE,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING, 7 UNITS)",Pending Release,2015-07-24T00:00:00.000,2015-12-11T00:00:00.000,TUXEDO PARK,7.0,NE,51.07050392467477,-114.0601734264265,ESTABLISHED,CENTRE
DP2015-4781,401 21 AV NE,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING, 15 UNITS)",Pending Release,2015-11-17T00:00:00.000,2016-09-28T00:00:00.000,WINSTON HEIGHTS/MOUNTVIEW,7.0,NE,51.0714148452533,-114.05594813828554,ESTABLISHED,CENTRE
DP2016-3080,1508 25 AV SW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING, 4 UNITS)",Pending Release,2016-07-27T00:00:00.000,2018-01-11T00:00:00.000,BANKVIEW,8.0,SW,51.03154106469147,-114.09657094856536,ESTABLISHED,CENTRE
DP2017-2555,112 24 AV NW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2017-06-12T00:00:00.000,2017-12-15T00:00:00.000,TUXEDO PARK,7.0,NW,51.07439095088428,-114.06333761720327,ESTABLISHED,CENTRE
DP2017-4382,200 RUNDLEFIELD RD NE,Residential - Multi-Family,"NEW: RESIDENTIAL CARE (1 BUILDING, 45 UNITS), ACCESSORY RESIDENTIAL BUILDING (GAZEBO)",Pending Release,2017-09-26T00:00:00.000,2017-11-30T00:00:00.000,RUNDLE,10.0,NE,51.0677375545031,-113.96353907633866,ESTABLISHED,NORTHEAST
DP2017-5569,1915 8 AV SE,Residential - Secondary Suite,NEW: BACKYARD SUITE (GARAGE),In Advertising,2017-12-04T00:00:00.000,2019-11-04T00:00:00.000,INGLEWOOD,9.0,SE,51.03573597271112,-114.01839452851166,ESTABLISHED,CENTRE
DP2017-5583,2140 51 AV SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2017-12-06T00:00:00.000,2018-01-11T00:00:00.000,NORTH GLENMORE PARK,11.0,SW,51.00783434899917,-114.1114350333382,ESTABLISHED,WEST
