service_request_id,requested_date,status_description,service_name,comm_name,address,longitude,latitude
26-00653401,2026-08-27,Closed,Roads - Pothole Maintenance,BRENTWOOD,,-114.13591917398958,51.09606553683618
26-00654459,2026-08-27,Open,Roads - Pothole Maintenance,MARLBOROUGH,,-113.96997429032228,51.05954612270691
26-00653868,2026-08-27,Open,Roads - Pothole Maintenance,GLENDALE,,-114.15271889005814,51.03337139240085
26-00653629,2026-08-27,Open,Roads - Pothole Maintenance,FRANKLIN,,-113.98749539255644,51.05893200830186
26-00655213,2026-08-27,Open,Roads - Pothole Maintenance,SIGNAL HILL,,-114.17990702915992,51.02326017192605
26-00652611,2026-08-27,Open,Roads - Pothole Maintenance,SHAGANAPPI,,-114.1266528552515,51.04521146641257
26-00653866,2026-08-27,Open,Roads - Pothole Maintenance,KILLARNEY/GLENGARRY,,-114.13173134426395,51.030131956517685
26-00653144,2026-08-27,Open,Roads - Pothole Maintenance,HUXLEY,,-113.9045528436838,51.055551543633726
26-00654482,2026-08-27,Duplicate (Open),Roads - Pothole Maintenance,MARLBOROUGH,,-113.96997429032228,51.05954612270691
26-00652152,2026-08-27,Open,Roads - Pothole Maintenance,SCARBORO/SUNALTA WEST,,-114.11485990934284,51.04219909319587
26-00655028,2026-08-27,Open,Roads - Pothole Maintenance,DALHOUSIE,,-114.15815535928552,51.10940993799306
26-00652760,2026-08-27,Open,Roads - Pothole Maintenance,ALYTH/BONNYBROOK,,-114.02248247207032,51.02285696668069
26-00651955,2026-08-27,Closed,Roads - Pothole Maintenance,MANCHESTER INDUSTRIAL,,-114.0572224672051,51.01325599042462
26-00654470,2026-08-27,Open,Roads - Pothole Maintenance,MAHOGANY,,-113.92463385892704,50.89594391667445
26-00652073,2026-08-27,Closed,Roads - Pothole Maintenance,PARKDALE,,-114.13533325689389,51.05994755127784
26-00652996,2026-08-27,Open,Roads - Pothole Maintenance,PARKLAND,,-114.02822405924384,50.920841901943966
26-00654961,2026-08-27,Open,Roads - Pothole Maintenance,HOUNSFIELD HEIGHTS/BRIAR HILL,,-114.10572976666074,51.06317953919688
26-00652354,2026-08-27,Closed,Roads - Pothole Maintenance,CANYON MEADOWS,,-114.0820063458848,50.94095720926748
26-00652964,2026-08-27,Open,Roads - Pothole Maintenance,SUNALTA,,-114.10148594325246,51.04295989297799
26-00653057,2026-08-27,Open,Roads - Pothole Maintenance,SUNALTA,,-114.10148594325246,51.04295989297799
26-00655628,2026-08-27,Open,Roads - Pothole Maintenance,MARTINDALE,,-113.95838711713029,51.11791372657443
26-00651969,2026-08-27,Closed,Roads - Pothole Maintenance,DALHOUSIE,,-114.15815535928552,51.10940993799306
26-00653657,2026-08-27,Closed,Roads - Pothole Maintenance,BANKVIEW,,-114.10048318979052,51.03412752814332
26-00655606,2026-08-27,Open,Roads - Pothole Maintenance,MILLRISE,,-114.08491413864552,50.91705536774364
26-00649085,2026-08-26,Closed,Roads - Pothole Maintenance,RICHMOND,,-114.11842028929551,51.02971029545911
26-00648419,2026-08-26,Closed,Roads - Pothole Maintenance,GLENMORE PARK,,-114.13153145583588,50.99046842020015
26-00649742,2026-08-26,Closed,Roads - Pothole Maintenance,STONEY 2,,-114.01718259300952,51.14338378288947
26-00651589,2026-08-26,Closed,Roads - Pothole Maintenance,GLENMORE PARK,,-114.13153145583588,50.99046842020015
26-00650090,2026-08-26,Closed,Roads - Pothole Maintenance,CRESCENT HEIGHTS,,-114.06164731813936,51.05950171589272
26-00648526,2026-08-26,Closed,Roads - Pothole Maintenance,FOOTHILLS,,-113.9820382253049,50.99396302980395
26-00650800,2026-08-26,Closed,Roads - Pothole Maintenance,NEW BRIGHTON,,-113.94523968694338,50.92206606969667
26-00650220,2026-08-26,Closed,Roads - Pothole Maintenance,QUEENSLAND,,-114.02257170606138,50.93822412104478
