stop_id,name,lat,lon,priority
0,Depot (downtown civic),51.0447,-114.0719,1
1,BELTLINE,51.035855,-114.052763,1
2,DOWNTOWN WEST END,51.048967,-114.088231,1
3,DOWNTOWN EAST VILLAGE,51.047545,-114.048454,1
4,INGLEWOOD,51.037073,-114.018279,1
5,MISSION,51.032039,-114.065659,1
6,BANKVIEW,51.034196,-114.101507,1
7,HILLHURST,51.049965,-114.093282,1
8,SUNNYSIDE,51.054954,-114.073032,1
9,BRIDGELAND/RIVERSIDE,51.046707,-114.033336,2
10,RAMSAY,51.035846,-114.046837,2
11,KILLARNEY/GLENGARRY,51.031167,-114.132225,2
12,SOUTH CALGARY,51.026005,-114.104131,2
13,LOWER MOUNT ROYAL,51.036289,-114.086652,2
14,CLIFF BUNGALOW,51.031673,-114.074483,2
15,CRESCENT HEIGHTS,51.053465,-114.057697,2
16,RENFREW,51.0575,-114.039029,3
17,TUXEDO PARK,51.074747,-114.061473,3
18,MOUNT PLEASANT,51.076023,-114.079287,3
19,ROSEDALE,51.062236,-114.080496,3
20,SUNALTA,51.046474,-114.104435,3
21,SCARBORO,51.04077,-114.10464,3
