YEAR,FIRE_NUMBER,FIRE_NAME,CURRENT_SIZE,SIZE_CLASS,LATITUDE,LONGITUDE,GENERAL_CAUSE,FIRE_START_DATE,DISPATCHED_RESOURCE,ASSESSMENT_HECTARES,FIRE_SPREAD_RATE,FIRE_TYPE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_SPEED,FUEL_TYPE,INITIAL_ACTION_BY
2025,SWF085,Red Earth East Complex ,138581.0,E,56.789033,-113.837633,Lightning,2025-05-25 10:52,HAC,15.0,20.0,Crown,28.0,25.0,15.0,C2,HAC
2025,SWF092,Red Earth East Complex,88302.0,E,56.319617,-115.10495,Lightning,2025-05-26 11:11,Air Tanker,2.0,10.0,Crown,19.4,34.0,4.0,C2,Air Tanker
2025,SWF094,Red Earth East Complex ,74621.0,E,56.99765,-114.46,Lightning,2025-05-26 11:48,,1.0,3.0,Crown,26.3,28.0,11.0,C2,HAC
2025,LWF090,Caribou Lake Complex,68023.0,E,55.19305,-110.688133,Lightning,2025-05-26 14:35,HAC,80.0,20.0,Crown,28.8,27.0,5.0,C2,FPD Staff
2025,HWF036,Sousa Creek Fire,52358.8,E,58.536167,-118.862633,Power Line Industry,2025-05-09 13:30,HAC,0.5,5.0,Ground,29.0,31.0,25.0,C2,HAC
2025,PWF044,Bison Lake,52289.9,E,56.987717,-116.508267,Lightning,2025-05-27 19:00,FPD Staff,5.0,5.0,Crown,30.0,20.0,35.0,C2,HAC
2025,MWF025,,33079.94,E,59.1492,-111.2072,Lightning,2025-05-27 21:13,HAC,3.5,5.0,Surface,26.0,35.0,5.0,C2,HAC
2025,MWF016,,25112.25,E,56.633533,-112.89505,Lightning,2025-05-26 23:55,HAC,25.0,10.0,Crown,29.0,20.0,18.0,C2,Air Tanker
2025,PWF050,Slims Creek,21158.0,E,57.420333,-117.639367,Lightning,2025-06-01 16:00,HAC,5.0,5.0,Crown,18.0,28.0,30.0,C2,HAC
2025,SWF100,Red Earth East Complex ,17946.0,E,56.69245,-115.03745,Lightning,2025-05-29 11:59,HAC,10.0,7.0,Crown,27.0,35.0,30.0,C2,HAC
2025,SWF076,Blue Sky,16852.0,E,54.81143,-115.410318,Under Investigation,2025-05-25 0:00,HAC,0.01,2.0,Crown,24.0,25.0,19.0,C2,HAC
2025,MWF026,Tulip Lake Fire,13903.86,E,59.969783,-111.321783,Lightning,2025-05-29 14:20,HAC,10.0,7.0,Crown,34.0,10.0,23.0,C2,HAC
2025,SWF088,Blue Sky,13684.0,E,55.6763,-115.173467,Lightning,2025-05-26 10:50,HAC,0.5,2.0,Surface,26.0,28.0,15.0,C1,HAC
2025,SWF089,Red Earth East Complex ,12383.2,E,56.705567,-114.336167,Lightning,2025-05-26 12:33,FPD Staff,0.3,2.0,Crown,20.0,30.0,27.0,C2,Air Tanker
2025,SWF083,Red Earth East Complex ,9500.0,E,57.119883,-114.141967,Lightning,2025-05-26 14:23,HAC,100.0,10.0,Crown,27.0,25.0,19.0,C2,HAC
2025,MWF024,,6332.0,E,59.317167,-111.085383,Lightning,2025-05-27 21:10,HAC,0.25,1.0,Surface,34.0,26.0,24.0,C2,HAC
2025,GWF028,Hamelin Creek Wildfire,5450.72,E,55.9266,-119.33885,Lightning,2025-05-22 12:30,HAC,0.01,1.0,Surface,16.0,44.0,20.0,M2,HAC
2025,LWF132,Medley River,4471.0,E,54.772283,-110.2109,Lightning,2025-07-09 12:15,FTAC,10.0,15.0,Crown,25.0,34.0,20.0,C2,FTAC
2025,HWF106,Moody Creek Fire,4138.0,E,58.93548,-118.305718,Lightning,2025-08-08 14:40,HAC,0.1,1.0,Surface,31.0,26.0,5.0,C1,HAC
2025,LWF201,Winefred River Complex,3332.32,E,55.8328,-110.326583,Lightning,2025-08-12 15:00,HAC,4.0,10.0,Crown,33.0,21.0,7.0,C2,FPD Staff
2025,SWF081,Red Earth East Complex ,3000.0,E,57.009083,-113.558033,Lightning,2025-05-26 14:25,HAC,0.01,1.0,Ground,20.0,33.0,10.0,C2,HAC
2025,WWF023,Hubert Lake,2773.0,E,54.564257,-114.2767,Under Investigation,2025-05-28 14:30,HAC,15.0,8.0,Crown,29.0,26.0,10.0,C2,HAC
2025,PWF031,Hutton Creek,2074.0,E,56.781863,-117.236595,Government,2025-05-02 18:01,FPD Staff,25.0,10.0,Surface,24.0,19.0,25.0,O1a,FPD Staff
2025,SWF095,Red Earth East Complex ,1383.0,E,56.591233,-114.585133,Lightning,2025-05-26 11:51,HAC,3.0,5.0,Crown,27.0,20.0,2.0,C2,HAC
2025,SWF093,Red Earth East Complex ,1200.0,E,56.721217,-113.99505,Lightning,2025-05-26 14:01,FPD Staff,0.5,2.0,Crown,20.0,28.0,10.0,C2,FPD Staff
2025,HWF037,,1067.0,E,57.832183,-116.1001,Lightning,2025-05-30 13:10,HAC,10.0,8.0,Crown,15.0,43.0,15.0,C1,Air Tanker
2025,EWF036,January Creek,738.0,E,53.648367,-115.988683,Under Investigation,,HAC,1.5,3.0,Crown,22.0,26.0,20.0,C2,Fire Department
