readingdate,station_name,parameter,value,units,latitude,longitude
2025-09-24T10:00:00.000,Calgary Varsity,Fine Particulate Matter,3.4,μg/m3,51.08272,-114.138994
2025-09-24T21:00:00.000,Calgary Southeast,Air Quality Health Index,4.0,,50.955122,-113.969742
2025-09-24T01:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-25T04:00:00.000,Calgary Southeast,Fine Particulate Matter,7.4,μg/m3,50.955122,-113.969742
2025-09-24T00:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-24T23:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,10.5,μg/m3,51.030789,-114.008836
2025-09-24T05:00:00.000,Calgary Southeast,Fine Particulate Matter,8.6,μg/m3,50.955122,-113.969742
2025-12-07T00:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-12-07T19:00:00.000,Calgary Southeast,Air Quality Health Index,5.0,,50.955122,-113.969742
2025-12-07T03:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,20.1,μg/m3,51.030789,-114.008836
2025-12-07T06:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,23.8,μg/m3,51.030789,-114.008836
2025-12-07T03:00:00.000,Calgary Varsity,Fine Particulate Matter,12.2,μg/m3,51.08272,-114.138994
2025-12-07T07:00:00.000,Calgary Central Inglewood,Air Quality Health Index,5.0,,51.030789,-114.008836
2025-12-07T23:00:00.000,Calgary Varsity,Fine Particulate Matter,2.0,μg/m3,51.08272,-114.138994
2025-12-07T10:00:00.000,Calgary Varsity,Air Quality Health Index,4.0,,51.08272,-114.138994
2025-12-07T00:00:00.000,Calgary Varsity,Fine Particulate Matter,14.4,μg/m3,51.08272,-114.138994
2025-12-07T13:00:00.000,Calgary Southeast,Air Quality Health Index,4.0,,50.955122,-113.969742
2025-10-14T03:00:00.000,Calgary Southeast,Air Quality Health Index,1.0,,50.955122,-113.969742
2025-10-14T14:00:00.000,Calgary Central Inglewood,Air Quality Health Index,1.0,,51.030789,-114.008836
2025-10-14T07:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-10-14T08:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T15:00:00.000,Calgary Central Inglewood,Air Quality Health Index,1.0,,51.030789,-114.008836
2025-10-14T02:00:00.000,Calgary Southeast,Air Quality Health Index,1.0,,50.955122,-113.969742
2025-10-14T10:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T06:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T15:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T01:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T05:00:00.000,Calgary Southeast,Air Quality Health Index,1.0,,50.955122,-113.969742
2025-10-19T08:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-10-14T04:00:00.000,Calgary Varsity,Fine Particulate Matter,4.9,μg/m3,51.08272,-114.138994
2025-10-14T08:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-10-14T01:00:00.000,Calgary Varsity,Fine Particulate Matter,5.5,μg/m3,51.08272,-114.138994
2025-10-15T05:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-15T01:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T09:00:00.000,Calgary Southeast,Fine Particulate Matter,5.4,μg/m3,50.955122,-113.969742
2025-10-14T20:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-15T02:00:00.000,Calgary Varsity,Fine Particulate Matter,4.9,μg/m3,51.08272,-114.138994
2025-10-14T11:00:00.000,Calgary Southeast,Air Quality Health Index,1.0,,50.955122,-113.969742
2025-10-14T13:00:00.000,Calgary Central Inglewood,Air Quality Health Index,1.0,,51.030789,-114.008836
2025-10-15T00:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T19:00:00.000,Calgary Varsity,Fine Particulate Matter,3.7,μg/m3,51.08272,-114.138994
2025-10-15T00:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,6.9,μg/m3,51.030789,-114.008836
2025-10-14T16:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,4.2,μg/m3,51.030789,-114.008836
2025-10-14T05:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T09:00:00.000,Calgary Varsity,Fine Particulate Matter,6.2,μg/m3,51.08272,-114.138994
2025-10-14T13:00:00.000,Calgary Southeast,Air Quality Health Index,1.0,,50.955122,-113.969742
2025-10-14T17:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T01:00:00.000,Calgary Southeast,Fine Particulate Matter,5.8,μg/m3,50.955122,-113.969742
2025-10-14T07:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,8.3,μg/m3,51.030789,-114.008836
2025-10-14T19:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,5.4,μg/m3,51.030789,-114.008836
2025-10-14T10:00:00.000,Calgary Varsity,Fine Particulate Matter,6.5,μg/m3,51.08272,-114.138994
2025-10-14T05:00:00.000,Calgary Varsity,Fine Particulate Matter,4.9,μg/m3,51.08272,-114.138994
2025-10-14T03:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T17:00:00.000,Calgary Varsity,Fine Particulate Matter,3.3,μg/m3,51.08272,-114.138994
2025-10-14T11:00:00.000,Calgary Central Inglewood,Air Quality Health Index,1.0,,51.030789,-114.008836
2025-10-14T04:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,6.9,μg/m3,51.030789,-114.008836
2025-10-15T01:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,8.7,μg/m3,51.030789,-114.008836
2025-10-14T13:00:00.000,Calgary Varsity,Fine Particulate Matter,3.9,μg/m3,51.08272,-114.138994
2025-09-25T10:00:00.000,Calgary Southeast,Fine Particulate Matter,8.2,μg/m3,50.955122,-113.969742
2025-09-25T11:00:00.000,Calgary Varsity,Fine Particulate Matter,9.0,μg/m3,51.08272,-114.138994
2025-09-25T07:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-24T07:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T21:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T20:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T05:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T18:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,4.8,μg/m3,51.030789,-114.008836
2025-10-14T18:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
