community_name,sector,srg,COMM_CODE,latitude,longitude,hail_track
ABBEYDALE,NORTHEAST,ESTABLISHED,ABB,51.05814515714285,-113.93170707142859,medium
ALPINE PARK,SOUTH,DEVELOPING,ALP,50.91726486521738,-114.13819206956524,medium
APPLEWOOD PARK,EAST,ESTABLISHED,APP,51.04527370555555,-113.92699810555554,low
ASPEN WOODS,WEST,DEVELOPING,ASP,51.04503039825579,-114.2065246854651,low
AUBURN BAY,SOUTHEAST,COMPLETE,AUB,50.89263110816326,-113.95158666734697,low
BANKVIEW,CENTRE,ESTABLISHED,BNK,51.03419619807692,-114.10150676153845,low
BEDDINGTON HEIGHTS,NORTH,ESTABLISHED,BED,51.129015155555564,-114.07309739059826,high
BELMONT,SOUTH,DEVELOPING,BLM,50.86554350338028,-114.04589556535228,low
BELTLINE,CENTRE,ESTABLISHED,BLN,51.03585515890948,-114.05276267061174,medium
BONAVISTA DOWNS,SOUTH,ESTABLISHED,BDO,50.94360208103447,-114.03140552068967,low
BRIDGELAND/RIVERSIDE,CENTRE,ESTABLISHED,BRD,51.04670651398468,-114.03333622816082,medium
CAMBRIAN HEIGHTS,CENTRE,ESTABLISHED,CAM,51.08344936470589,-114.085623172549,medium
CASTLERIDGE,NORTHEAST,ESTABLISHED,CAS,51.1033402288889,-113.96241109999994,medium
CHAPARRAL,SOUTH,ESTABLISHED,CHA,50.88067026351352,-114.02057823513513,low
CHARLESWOOD,NORTHWEST,ESTABLISHED,CHW,51.08934346813191,-114.11749649175833,low
CHINATOWN,CENTRE,ESTABLISHED,CHN,51.05316924396889,-114.06300154163424,medium
CITADEL,NORTHWEST,ESTABLISHED,CIT,51.147358947936496,-114.17292966031746,low
CITYSCAPE,NORTHEAST,DEVELOPING,CSC,51.14625944666667,-113.95722142000001,medium
CLIFF BUNGALOW,CENTRE,ESTABLISHED,CLI,51.0316728801587,-114.07448255634917,low
COACH HILL,WEST,ESTABLISHED,COA,51.05768229004975,-114.18403638059701,low
COPPERFIELD,SOUTHEAST,ESTABLISHED,CPF,50.91430092066667,-113.93179390333336,low
CORAL SPRINGS,NORTHEAST,ESTABLISHED,COR,51.10149729523809,-113.92312103333337,low
CORNERSTONE,NORTHEAST,DEVELOPING,CNS,51.16327383406595,-113.9351462626374,high
COUGAR RIDGE,WEST,ESTABLISHED,CGR,51.0716932420168,-114.20554425210075,low
COUNTRY HILLS,NORTH,ESTABLISHED,COU,51.14599182543857,-114.0758294947369,high
COUNTRY HILLS VILLAGE,NORTH,ESTABLISHED,CHV,51.1585705981132,-114.06131819811321,low
COVENTRY HILLS,NORTH,ESTABLISHED,COV,51.16465230545453,-114.05514891818184,high
CRANSTON,SOUTHEAST,COMPLETE,CRA,50.869109751043304,-113.98875716024591,low
CRESCENT HEIGHTS,CENTRE,ESTABLISHED,CRE,51.053464542903214,-114.0576971922581,medium
DOWNTOWN COMMERCIAL CORE,CENTRE,ESTABLISHED,DNC,51.04766861780821,-114.07321205342461,medium
EAU CLAIRE,CENTRE,ESTABLISHED,EAU,51.054791148598134,-114.07493495545174,medium
EVANSTON,NORTH,COMPLETE,EVN,51.173521462913925,-114.11564957019866,high
EVERGREEN,SOUTH,ESTABLISHED,EVE,50.91956321268292,-114.10957328878044,low
FAIRVIEW,SOUTH,ESTABLISHED,FAI,50.98466675,-114.06021570227273,low
FALCONRIDGE,NORTHEAST,ESTABLISHED,FAL,51.10430338518518,-113.95110201851854,medium
GLACIER RIDGE,NORTH,DEVELOPING,GLR,51.19090047628805,-114.14701822691359,low
HAMPTONS,NORTHWEST,ESTABLISHED,HAM,51.148421217923136,-114.14719634167862,low
HARVEST HILLS,NORTH,ESTABLISHED,HAR,51.145363437012996,-114.05330041168834,high
HAWKWOOD,NORTHWEST,ESTABLISHED,HAW,51.131096242857154,-114.1693217669173,low
HAYSBORO,SOUTH,ESTABLISHED,HAY,50.97405445777778,-114.08460916666667,low
HIDDEN VALLEY,NORTH,ESTABLISHED,HID,51.14903457909267,-114.13260044102566,high
HIGHLAND PARK,CENTRE,ESTABLISHED,HPK,51.08788618181818,-114.06077104090909,high
HIGHWOOD,CENTRE,ESTABLISHED,HIW,51.092949207792216,-114.07937989870128,medium
HUNTINGTON HILLS,NORTH,ESTABLISHED,HUN,51.11713760069442,-114.07158172430552,high
KEYSTONE HILLS,NORTH,DEVELOPING,KSH,51.17909719210527,-114.02415848684211,medium
KILLARNEY/GLENGARRY,CENTRE,ESTABLISHED,KIL,51.03116716500003,-114.13222495166669,low
KINCORA,NORTH,DEVELOPING,KCA,51.16053097500001,-114.13646410833333,high
KINGSLAND,SOUTH,ESTABLISHED,KIN,50.987635749999995,-114.07706954500004,low
LAKE BONAVISTA,SOUTH,ESTABLISHED,LKB,50.93639347372881,-114.05160340762706,low
LEGACY,SOUTH,DEVELOPING,LEG,50.85787809230774,-113.98519956673586,low
LIVINGSTON,NORTH,DEVELOPING,LIV,51.17913805142857,-114.06569367714286,high
MARLBOROUGH,NORTHEAST,ESTABLISHED,MRL,51.056457879999996,-113.96905217333337,medium
MARLBOROUGH PARK,NORTHEAST,ESTABLISHED,MPK,51.05679627142855,-113.94973528571427,medium
MARTINDALE,NORTHEAST,ESTABLISHED,MRT,51.12033649125,-113.95920293375002,medium
MEDICINE HILL,WEST,COMPLETE,MDH,51.079792937499995,-114.2000269652778,medium
MONTEREY PARK,NORTHEAST,ESTABLISHED,MOR,51.08617424390243,-113.92562552439026,medium
NEW BRIGHTON,SOUTHEAST,ESTABLISHED,NEB,50.92022180521739,-113.94474180869568,low
NOLAN HILL,NORTH,COMPLETE,NOL,51.17279447631579,-114.16558234210527,high
NORTH GLENMORE PARK,WEST,ESTABLISHED,NGM,50.99939757887324,-114.1130942197183,medium
NORTH HAVEN,NORTH,ESTABLISHED,NHV,51.09653730344827,-114.09032506206894,medium
NORTH HAVEN UPPER,NORTH,ESTABLISHED,NHU,51.103798445312485,-114.08496225625002,medium
OGDEN,SOUTHEAST,ESTABLISHED,OGD,50.99502392229729,-114.02285536837854,low
PANORAMA HILLS,NORTH,ESTABLISHED,PAN,51.157466175539575,-114.08206687050355,high
PARKLAND,SOUTH,ESTABLISHED,PKL,50.91963220648148,-114.02847726481477,low
PENBROOKE MEADOWS,EAST,ESTABLISHED,PEN,51.04863913333334,-113.9511433714286,low
PINE CREEK,SOUTH,DEVELOPING,PCK,50.85667057998503,-114.05603166311265,medium
PINERIDGE,NORTHEAST,ESTABLISHED,PIN,51.07532603846154,-113.94860033846155,medium
QUEENS PARK VILLAGE,CENTRE,ESTABLISHED,QPK,51.0861654,-114.07840627499998,medium
RAMSAY,CENTRE,ESTABLISHED,RAM,51.0358459001675,-114.04683737872698,low
REDSTONE,NORTHEAST,DEVELOPING,RSN,51.17009437111112,-113.95879177222226,high
RENFREW,CENTRE,ESTABLISHED,REN,51.05750002747749,-114.03902894009002,medium
RICARDO RANCH,SOUTHEAST,DEVELOPING,RRC,50.85098655984253,-113.94175540461175,low
RICHMOND,CENTRE,ESTABLISHED,RIC,51.02868897391302,-114.11851778260872,low
ROSEMONT,CENTRE,ESTABLISHED,RMT,51.07827615098038,-114.08948600392159,medium
ROYAL OAK,NORTHWEST,ESTABLISHED,ROY,51.14546567826084,-114.2201343043478,low
RUNDLE,NORTHEAST,ESTABLISHED,RUN,51.07577957647059,-113.97104105294116,medium
SADDLE RIDGE,NORTHEAST,DEVELOPING,SAD,51.12986333731343,-113.94025046417906,medium
SAGE HILL,NORTH,DEVELOPING,SGH,51.17669632173911,-114.13491960956516,high
SANDSTONE VALLEY,NORTH,ESTABLISHED,SAN,51.13863893018869,-114.09482154716983,high
SHAWNEE SLOPES,SOUTH,ESTABLISHED,SHS,50.927534727102795,-114.08351168971974,low
SIGNAL HILL,WEST,ESTABLISHED,SIG,51.022616778378364,-114.17463131081081,low
SILVER SPRINGS,NORTHWEST,ESTABLISHED,SIL,51.09629716743619,-114.19467444823816,low
SKYVIEW RANCH,NORTHEAST,DEVELOPING,SKR,51.15650512,-113.95527788666666,high
TARADALE,NORTHEAST,ESTABLISHED,TAR,51.118185224,-113.93429249399998,medium
TEMPLE,NORTHEAST,ESTABLISHED,TEM,51.087344823076926,-113.9468035923077,medium
THORNCLIFFE,NORTH,ESTABLISHED,THO,51.10346427315792,-114.07379307105262,high
TUSCANY,NORTHWEST,ESTABLISHED,TUS,51.12050042738094,-114.23929084642855,low
TUXEDO PARK,CENTRE,ESTABLISHED,TUX,51.07474651730767,-114.06147270192307,medium
WHITEHORN,NORTHEAST,ESTABLISHED,WHI,51.08843700555556,-113.97206873888886,medium
WINSTON HEIGHTS/MOUNTVIEW,CENTRE,ESTABLISHED,WIN,51.077366021519005,-114.04716307974682,high
WOLF WILLOW,SOUTH,DEVELOPING,WWO,50.871082148257614,-113.99361263174252,low
YORKVILLE,SOUTH,DEVELOPING,YKV,50.87101505357143,-114.08224671785715,low
