blogger_id,age,is_teen,pct_active_school_hours,pct_active_evening,pct_active_late_night,weekend_weekday_session_ratio,sessions_per_day,avg_session_minutes,friend_count,account_age_days,share_short_video_views,share_news_views,night_notification_open_rate,source
B1005545,25,False,0.2463,0.3852,0.2097,0.465,2.0,18.0,437,3550,0.3176,0.1776,0.2291,synthetic_calibrated_demo
B1015252,23,False,0.2228,0.3619,0.0538,1.314,4.5,15.5,427,1634,0.4912,0.2615,0.1115,synthetic_calibrated_demo
B1016560,41,False,0.3794,0.5135,0.0889,0.896,2.97,21.9,482,901,0.304,0.1792,0.0758,synthetic_calibrated_demo
B1019622,24,False,0.3551,0.294,0.1061,1.311,5.05,22.4,487,92,0.3605,0.3558,0.0189,synthetic_calibrated_demo
B1045831,23,False,0.5009,0.2391,0.172,0.545,3.93,18.3,350,2517,0.4196,0.3752,0.1186,synthetic_calibrated_demo
B1050060,24,False,0.1775,0.1843,0.1333,1.093,5.98,13.6,315,3540,0.4076,0.2429,0.1911,synthetic_calibrated_demo
B1051122,17,True,0.1708,0.3108,0.1312,1.518,7.87,30.7,166,542,0.4523,0.1328,0.0775,synthetic_calibrated_demo
B1054833,24,False,0.1622,0.2758,0.2081,0.943,6.08,9.5,448,1268,0.187,0.2393,0.2256,synthetic_calibrated_demo
B1056232,17,True,0.0898,0.4621,0.1231,1.431,6.85,40.0,111,914,0.3562,0.1561,0.3064,synthetic_calibrated_demo
B105748,26,False,0.0946,0.4231,0.164,1.214,3.5,30.4,264,45,0.2847,0.0486,0.3176,synthetic_calibrated_demo
B1060087,27,False,0.1798,0.01,0.1142,0.806,3.77,12.1,188,155,0.4692,0.2988,0.1357,synthetic_calibrated_demo
B106738,25,False,0.3943,0.4439,0.1424,1.345,3.6,7.5,160,226,0.2185,0.5354,0.0761,synthetic_calibrated_demo
B1070326,24,False,0.3165,0.3069,0.1033,1.184,3.69,7.2,582,4466,0.3442,0.4695,0.1644,synthetic_calibrated_demo
B1084668,15,True,0.1236,0.6112,0.1654,1.888,7.24,11.8,760,347,0.7841,0.2951,0.2585,synthetic_calibrated_demo
B1084944,26,False,0.3835,0.2078,0.0833,1.001,5.28,28.3,185,645,0.4102,0.034,0.1456,synthetic_calibrated_demo
B1090235,17,True,0.2626,0.2705,0.1681,1.181,6.01,34.0,426,932,0.734,0.1261,0.1965,synthetic_calibrated_demo
B1092346,16,True,0.3217,0.2989,0.2218,1.613,2.89,14.7,273,2135,0.2373,0.3179,0.2585,synthetic_calibrated_demo
B1093691,17,True,0.19,0.3096,0.07,1.317,2.58,9.3,443,357,0.314,0.0413,0.5004,synthetic_calibrated_demo
B1102011,15,True,0.3622,0.2794,0.1521,1.622,7.84,20.2,478,226,0.3,0.1186,0.248,synthetic_calibrated_demo
B1104980,23,False,0.3741,0.3082,0.0803,1.05,3.16,19.5,308,865,0.714,0.5312,0.2916,synthetic_calibrated_demo
B1107975,17,True,0.2021,0.4675,0.01,1.675,7.89,12.9,283,1125,0.5622,0.1447,0.2449,synthetic_calibrated_demo
B1111991,33,False,0.0189,0.2715,0.0908,1.139,3.86,2.9,119,1910,0.5618,0.0959,0.2277,synthetic_calibrated_demo
B1113692,25,False,0.4304,0.3711,0.1801,1.403,5.48,31.0,306,2957,0.4359,0.2444,0.156,synthetic_calibrated_demo
B1119650,23,False,0.3426,0.4009,0.1321,1.596,6.06,4.4,440,670,0.1559,0.2178,0.286,synthetic_calibrated_demo
B112265,23,False,0.1115,0.2025,0.1496,1.397,5.82,2.0,415,2380,0.3301,0.3297,0.2955,synthetic_calibrated_demo
B1125373,17,True,0.4885,0.3196,0.1727,0.879,6.23,25.5,449,4048,0.3528,0.3124,0.0723,synthetic_calibrated_demo
B1130595,16,True,0.1078,0.4272,0.3632,1.09,4.83,26.0,505,678,0.5218,0.2596,0.3828,synthetic_calibrated_demo
B1131329,13,True,0.01,0.6236,0.0764,1.388,9.94,8.0,367,423,0.2638,0.0685,0.3328,synthetic_calibrated_demo
B1132409,41,False,0.3544,0.2809,0.1303,1.261,4.88,23.1,416,4042,0.3942,0.1954,0.1338,synthetic_calibrated_demo
B1135804,33,False,0.316,0.3306,0.2079,0.452,2.01,5.1,190,3831,0.225,0.3699,0.1244,synthetic_calibrated_demo
B1138306,17,True,0.1924,0.4646,0.0852,0.799,3.41,5.2,55,917,0.2699,0.3764,0.3049,synthetic_calibrated_demo
B1142598,24,False,0.1814,0.2531,0.2333,1.138,5.52,13.3,489,649,0.5885,0.123,0.3194,synthetic_calibrated_demo
B1143104,23,False,0.5111,0.2297,0.198,1.165,4.34,19.8,550,2165,0.6108,0.2883,0.1644,synthetic_calibrated_demo
B114645,17,True,0.2253,0.3037,0.01,0.624,4.12,19.4,266,593,0.83,0.2395,0.1645,synthetic_calibrated_demo
B1155029,17,True,0.2396,0.3725,0.2324,0.95,6.82,50.0,770,724,0.7493,0.1482,0.3497,synthetic_calibrated_demo
B1157658,25,False,0.1582,0.3134,0.2269,1.16,4.03,20.6,305,828,0.451,0.0602,0.1198,synthetic_calibrated_demo
B1164965,16,True,0.112,0.2363,0.01,1.16,12.61,28.3,362,444,0.5944,0.01,0.2443,synthetic_calibrated_demo
B1173156,24,False,0.4784,0.2295,0.1806,1.539,2.66,9.9,485,4457,0.2932,0.4485,0.1102,synthetic_calibrated_demo
B1180158,23,False,0.2291,0.1634,0.086,1.186,1.47,22.1,136,2236,0.4807,0.01,0.0792,synthetic_calibrated_demo
B1185193,17,True,0.1512,0.3886,0.1557,0.997,8.5,30.6,747,1184,0.609,0.1667,0.5242,synthetic_calibrated_demo
B1195073,15,True,0.0775,0.3209,0.1102,1.467,6.92,16.3,46,483,0.6383,0.1256,0.2017,synthetic_calibrated_demo
B1205193,15,True,0.3597,0.1581,0.1447,0.614,7.27,27.0,591,3440,0.3709,0.01,0.0459,synthetic_calibrated_demo
B1207055,15,True,0.0415,0.352,0.1884,1.914,3.87,26.5,664,1030,0.2557,0.0247,0.2292,synthetic_calibrated_demo
B1231380,15,True,0.1902,0.3601,0.232,1.13,5.27,29.4,377,1154,0.5917,0.01,0.3446,synthetic_calibrated_demo
B1231400,24,False,0.2621,0.1376,0.1476,1.122,3.37,28.6,159,3870,0.3245,0.3123,0.0942,synthetic_calibrated_demo
B1233335,25,False,0.2383,0.0556,0.1779,1.815,3.79,2.0,283,1822,0.2799,0.2572,0.0498,synthetic_calibrated_demo
B1234709,17,True,0.445,0.3903,0.145,1.3,8.28,6.7,85,557,0.4575,0.3063,0.2591,synthetic_calibrated_demo
B1239610,17,True,0.1711,0.3388,0.1792,0.953,1.22,16.9,314,2461,0.2721,0.2702,0.01,synthetic_calibrated_demo
B1242619,15,True,0.2518,0.4854,0.1145,0.889,8.81,27.5,303,1225,0.5816,0.1778,0.3265,synthetic_calibrated_demo
B1242759,16,True,0.0378,0.3347,0.0934,1.627,10.4,19.4,282,1338,0.5703,0.1179,0.3942,synthetic_calibrated_demo
B1255416,17,True,0.106,0.3013,0.1613,1.74,6.21,13.7,523,546,0.6879,0.0522,0.1707,synthetic_calibrated_demo
B1259179,15,True,0.4693,0.0949,0.0643,0.987,2.17,4.5,260,1975,0.2709,0.1573,0.1413,synthetic_calibrated_demo
B1274852,27,False,0.4778,0.3317,0.1721,0.708,2.36,20.6,135,728,0.3968,0.2575,0.175,synthetic_calibrated_demo
B1278138,26,False,0.01,0.5407,0.2579,0.993,2.34,25.0,253,1196,0.8076,0.1865,0.2354,synthetic_calibrated_demo
B1280497,26,False,0.4786,0.3993,0.1065,0.774,6.31,22.1,89,2727,0.495,0.3562,0.2166,synthetic_calibrated_demo
B1281160,24,False,0.1403,0.2688,0.2723,1.955,10.06,26.6,152,837,0.5219,0.1583,0.1488,synthetic_calibrated_demo
B1283465,24,False,0.1162,0.6247,0.2401,1.354,7.4,24.4,355,757,0.3468,0.1264,0.1905,synthetic_calibrated_demo
B1289910,17,True,0.2117,0.5342,0.218,1.709,6.89,15.5,180,781,0.5751,0.1741,0.4345,synthetic_calibrated_demo
B1309251,23,False,0.3205,0.2585,0.1127,1.126,3.59,12.0,469,4010,0.2637,0.3093,0.1746,synthetic_calibrated_demo
B1315210,23,False,0.4406,0.1271,0.01,0.491,4.66,17.2,262,2355,0.49,0.01,0.1856,synthetic_calibrated_demo
B1316855,25,False,0.2473,0.3913,0.2355,1.601,3.93,32.2,593,1734,0.5655,0.2688,0.1618,synthetic_calibrated_demo
B132894,26,False,0.4829,0.2209,0.0324,1.323,4.66,19.2,467,642,0.3671,0.331,0.01,synthetic_calibrated_demo
B1330002,13,True,0.1909,0.2611,0.176,0.88,5.82,18.2,385,373,0.5646,0.0493,0.3669,synthetic_calibrated_demo
B1334247,17,True,0.1406,0.3075,0.1064,1.429,9.07,12.9,309,1334,0.3451,0.166,0.4294,synthetic_calibrated_demo
B1335479,37,False,0.2772,0.2492,0.1603,0.956,6.7,11.6,326,3323,0.387,0.0957,0.1851,synthetic_calibrated_demo
B133604,23,False,0.6195,0.3253,0.0357,1.071,2.45,11.0,399,1896,0.3978,0.2053,0.2389,synthetic_calibrated_demo
B1360300,34,False,0.1173,0.2653,0.0628,1.086,3.46,15.7,187,2238,0.2962,0.3297,0.1291,synthetic_calibrated_demo
B1361398,26,False,0.5364,0.3165,0.1288,0.705,4.42,24.5,243,588,0.3496,0.3864,0.1942,synthetic_calibrated_demo
B1363719,36,False,0.078,0.342,0.01,0.533,5.5,20.8,417,1575,0.2203,0.4445,0.1064,synthetic_calibrated_demo
B1365227,27,False,0.3515,0.1987,0.1208,1.039,1.87,15.0,529,335,0.4494,0.2842,0.1245,synthetic_calibrated_demo
B1365875,27,False,0.2403,0.3653,0.0911,0.625,5.49,20.7,327,1581,0.3521,0.3683,0.1837,synthetic_calibrated_demo
B1379288,35,False,0.4174,0.2719,0.1009,1.311,7.56,31.4,447,3338,0.3046,0.3223,0.219,synthetic_calibrated_demo
B1380515,40,False,0.3102,0.2344,0.1047,1.051,5.28,22.4,100,2970,0.4259,0.3255,0.0389,synthetic_calibrated_demo
B1390907,37,False,0.2029,0.2185,0.0919,0.949,5.84,19.7,550,4101,0.3774,0.3539,0.01,synthetic_calibrated_demo
B1392379,25,False,0.4654,0.3708,0.1449,0.9,5.57,12.8,427,3945,0.4581,0.2131,0.2225,synthetic_calibrated_demo
B1393814,13,True,0.288,0.2734,0.1268,1.162,8.1,14.4,751,1369,0.3213,0.1216,0.2932,synthetic_calibrated_demo
B1394735,38,False,0.4075,0.3708,0.1388,1.004,7.51,13.3,192,3880,0.2298,0.2728,0.0535,synthetic_calibrated_demo
B1396260,23,False,0.2002,0.2921,0.01,0.776,5.05,27.6,255,2811,0.2379,0.4522,0.1719,synthetic_calibrated_demo
B1404301,24,False,0.3401,0.2094,0.0168,1.246,4.05,12.2,165,2283,0.4313,0.3016,0.091,synthetic_calibrated_demo
B1405870,26,False,0.4462,0.4131,0.1237,1.23,5.64,8.2,211,3556,0.1302,0.1846,0.2673,synthetic_calibrated_demo
B1407268,23,False,0.3017,0.3039,0.1074,1.39,3.88,19.8,186,359,0.383,0.2804,0.0825,synthetic_calibrated_demo
B1410011,16,True,0.1716,0.3872,0.01,1.037,6.17,17.1,73,142,0.4936,0.256,0.2874,synthetic_calibrated_demo
B1415200,15,True,0.01,0.1907,0.0943,1.355,8.46,28.7,296,258,0.683,0.2327,0.3021,synthetic_calibrated_demo
B1425932,25,False,0.3174,0.3967,0.266,0.315,1.76,7.5,297,2972,0.2844,0.0991,0.0613,synthetic_calibrated_demo
B1432406,16,True,0.3131,0.1208,0.01,1.015,2.6,16.3,84,3730,0.2133,0.2978,0.183,synthetic_calibrated_demo
B1432868,16,True,0.2733,0.4961,0.0949,1.239,7.68,30.1,678,1247,0.7651,0.2307,0.2492,synthetic_calibrated_demo
B1435600,16,True,0.0522,0.6895,0.0737,0.887,5.63,28.2,99,200,0.4159,0.0793,0.1945,synthetic_calibrated_demo
B1438661,16,True,0.1827,0.4141,0.1193,0.422,3.49,5.9,389,872,0.3287,0.2592,0.2747,synthetic_calibrated_demo
B1440291,23,False,0.2007,0.5085,0.1252,1.546,8.16,18.5,649,1370,0.3305,0.1478,0.3192,synthetic_calibrated_demo
B1450156,37,False,0.4424,0.457,0.0815,1.555,3.54,25.4,485,2871,0.2623,0.0631,0.1346,synthetic_calibrated_demo
B1450587,15,True,0.1923,0.331,0.1,1.621,6.71,41.4,272,244,0.6799,0.1488,0.3755,synthetic_calibrated_demo
B1452076,15,True,0.2961,0.488,0.1969,1.888,10.28,20.3,118,1294,0.4202,0.1421,0.208,synthetic_calibrated_demo
B1455561,17,True,0.01,0.1625,0.1677,1.371,7.4,10.7,709,1231,0.8406,0.2142,0.3004,synthetic_calibrated_demo
B1461773,25,False,0.4314,0.0275,0.0338,0.703,2.67,17.4,358,1722,0.01,0.3537,0.2178,synthetic_calibrated_demo
B1461990,17,True,0.01,0.4259,0.031,1.632,5.18,28.0,576,435,0.8138,0.1217,0.3251,synthetic_calibrated_demo
B1472662,23,False,0.3724,0.1389,0.1384,1.34,5.19,4.3,282,679,0.4239,0.0546,0.0533,synthetic_calibrated_demo
B1477618,33,False,0.3722,0.312,0.2976,0.986,3.0,20.4,234,219,0.2463,0.1561,0.3579,synthetic_calibrated_demo
B1478602,23,False,0.2945,0.3985,0.01,1.156,8.43,20.7,440,2434,0.249,0.2308,0.1271,synthetic_calibrated_demo
B1478632,17,True,0.1411,0.4798,0.0753,1.815,9.79,33.6,451,1164,0.6527,0.1764,0.0874,synthetic_calibrated_demo
B1491593,27,False,0.3847,0.4214,0.174,0.3,3.97,15.7,185,1665,0.3332,0.4299,0.0522,synthetic_calibrated_demo
B1492818,47,False,0.2667,0.3312,0.01,1.609,5.81,15.5,406,4216,0.1226,0.4219,0.1208,synthetic_calibrated_demo
B1493787,27,False,0.4465,0.3996,0.1345,1.204,3.76,34.8,399,3896,0.4965,0.4441,0.0733,synthetic_calibrated_demo
B1499735,24,False,0.3031,0.2398,0.1113,1.47,4.96,9.7,118,1990,0.449,0.3586,0.2171,synthetic_calibrated_demo
B1507424,35,False,0.3627,0.3024,0.149,0.3,2.11,26.0,554,1932,0.3705,0.1131,0.2795,synthetic_calibrated_demo
B1510754,24,False,0.3746,0.249,0.1161,1.203,4.39,13.8,544,1961,0.304,0.556,0.1582,synthetic_calibrated_demo
B1512689,23,False,0.237,0.2602,0.1735,1.062,2.03,6.1,331,1016,0.0725,0.2931,0.2513,synthetic_calibrated_demo
B152151,23,False,0.6266,0.0848,0.0925,1.562,5.5,21.5,133,3979,0.3662,0.3733,0.0771,synthetic_calibrated_demo
B1532204,23,False,0.2434,0.2725,0.1062,0.728,3.89,8.2,163,3533,0.159,0.3654,0.0437,synthetic_calibrated_demo
B1533422,14,True,0.0915,0.4883,0.01,1.335,11.59,25.3,317,195,0.6077,0.2206,0.0403,synthetic_calibrated_demo
B1550368,36,False,0.2168,0.1119,0.0379,0.3,4.13,15.5,314,3574,0.471,0.4238,0.1347,synthetic_calibrated_demo
B1558100,23,False,0.4673,0.1677,0.2915,0.762,6.1,3.5,468,4477,0.5323,0.2487,0.2256,synthetic_calibrated_demo
B1563867,27,False,0.0972,0.2425,0.1729,1.169,1.47,11.2,386,4274,0.2688,0.1149,0.0934,synthetic_calibrated_demo
B1568659,33,False,0.294,0.3066,0.0631,0.706,2.72,11.9,221,4342,0.3427,0.3676,0.01,synthetic_calibrated_demo
B1571041,26,False,0.1608,0.0963,0.0417,1.359,0.5,19.8,145,983,0.2986,0.346,0.0867,synthetic_calibrated_demo
B1571308,34,False,0.2849,0.2072,0.0113,0.627,4.25,11.2,102,4424,0.3834,0.3185,0.1715,synthetic_calibrated_demo
B1572460,24,False,0.3048,0.2525,0.1115,1.825,8.02,26.0,200,1271,0.4586,0.1659,0.2497,synthetic_calibrated_demo
B1583261,16,True,0.3777,0.2704,0.2004,1.084,8.19,24.5,369,1099,0.7081,0.1573,0.4158,synthetic_calibrated_demo
B1585532,16,True,0.01,0.3404,0.1007,1.344,7.48,34.8,120,1023,0.6758,0.1407,0.2555,synthetic_calibrated_demo
B1588678,13,True,0.1515,0.2432,0.1133,1.401,4.24,11.4,577,4114,0.4982,0.3444,0.1153,synthetic_calibrated_demo
B1593902,15,True,0.2499,0.3822,0.3491,0.965,6.55,42.0,93,1381,0.4086,0.1602,0.2802,synthetic_calibrated_demo
B1596060,27,False,0.3347,0.3986,0.0749,0.565,6.58,19.9,562,3743,0.2807,0.0999,0.0577,synthetic_calibrated_demo
B1598918,27,False,0.2568,0.4223,0.048,1.312,3.53,4.4,326,3907,0.2455,0.1301,0.1869,synthetic_calibrated_demo
B1602641,16,True,0.1814,0.1547,0.1391,0.352,5.07,32.2,95,2055,0.3564,0.403,0.1352,synthetic_calibrated_demo
B1605135,14,True,0.1238,0.4391,0.0793,1.165,8.26,10.6,141,138,0.2964,0.0804,0.5108,synthetic_calibrated_demo
B1605613,23,False,0.316,0.3086,0.092,1.041,4.17,5.5,263,2046,0.448,0.1158,0.1329,synthetic_calibrated_demo
B1608709,25,False,0.3745,0.1331,0.19,0.818,3.45,19.5,143,1426,0.445,0.1871,0.0943,synthetic_calibrated_demo
B1620344,23,False,0.4473,0.5254,0.0093,1.071,2.25,10.8,346,3090,0.172,0.1538,0.137,synthetic_calibrated_demo
B1626309,14,True,0.1672,0.4325,0.01,1.947,9.49,27.0,746,695,0.5537,0.0391,0.4555,synthetic_calibrated_demo
B1634005,23,False,0.3484,0.4204,0.1778,0.572,5.2,25.1,107,482,0.3189,0.3129,0.1229,synthetic_calibrated_demo
B1645163,17,True,0.1252,0.4053,0.0978,1.505,6.07,19.9,260,1066,0.2127,0.1829,0.2799,synthetic_calibrated_demo
B1645698,26,False,0.4217,0.325,0.0955,0.911,5.93,24.5,87,2398,0.2835,0.0271,0.2192,synthetic_calibrated_demo
B1648321,14,True,0.2702,0.5867,0.1234,1.271,8.59,24.6,68,458,0.5863,0.1921,0.2906,synthetic_calibrated_demo
B1650898,38,False,0.2439,0.3105,0.1625,0.601,1.98,2.0,85,3431,0.1634,0.2339,0.2095,synthetic_calibrated_demo
B1653895,13,True,0.4086,0.2302,0.0919,1.363,5.39,5.8,156,2034,0.1682,0.4495,0.2422,synthetic_calibrated_demo
B1667720,33,False,0.3525,0.2609,0.1928,0.881,3.37,7.4,576,4291,0.064,0.3676,0.3128,synthetic_calibrated_demo
B1668490,26,False,0.2397,0.2249,0.01,1.13,2.47,18.6,325,3658,0.396,0.4029,0.0795,synthetic_calibrated_demo
