blogger_id,is_teen,timestamp,hour,dow,sessions,source
S03340,True,2025-09-01T00:00:00,0,0,1,synthetic_calibrated_hourly
S03340,True,2025-09-01T03:00:00,3,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T05:00:00,5,0,1,synthetic_calibrated_hourly
S03340,True,2025-09-01T06:00:00,6,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T07:00:00,7,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T08:00:00,8,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T10:00:00,10,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T11:00:00,11,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T12:00:00,12,0,1,synthetic_calibrated_hourly
S03340,True,2025-09-01T13:00:00,13,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T14:00:00,14,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T15:00:00,15,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T16:00:00,16,0,2,synthetic_calibrated_hourly
S03340,True,2025-09-01T17:00:00,17,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T19:00:00,19,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T20:00:00,20,0,0,synthetic_calibrated_hourly
S03340,True,2025-09-01T21:00:00,21,0,3,synthetic_calibrated_hourly
S03340,True,2025-09-01T23:00:00,23,0,1,synthetic_calibrated_hourly
S03340,True,2025-09-02T00:00:00,0,1,0,synthetic_calibrated_hourly
S03340,True,2025-09-02T07:00:00,7,1,0,synthetic_calibrated_hourly
S03340,True,2025-09-02T08:00:00,8,1,0,synthetic_calibrated_hourly
S03340,True,2025-09-02T09:00:00,9,1,1,synthetic_calibrated_hourly
S03340,True,2025-09-02T10:00:00,10,1,0,synthetic_calibrated_hourly
S03340,True,2025-09-02T11:00:00,11,1,0,synthetic_calibrated_hourly
S03340,True,2025-09-02T12:00:00,12,1,0,synthetic_calibrated_hourly
S03340,True,2025-09-02T13:00:00,13,1,1,synthetic_calibrated_hourly
S03340,True,2025-09-02T14:00:00,14,1,1,synthetic_calibrated_hourly
S03340,True,2025-09-02T16:00:00,16,1,2,synthetic_calibrated_hourly
S03340,True,2025-09-02T18:00:00,18,1,1,synthetic_calibrated_hourly
S03340,True,2025-09-02T19:00:00,19,1,1,synthetic_calibrated_hourly
S03340,True,2025-09-02T20:00:00,20,1,4,synthetic_calibrated_hourly
S03340,True,2025-09-02T21:00:00,21,1,0,synthetic_calibrated_hourly
S03340,True,2025-09-02T22:00:00,22,1,1,synthetic_calibrated_hourly
S03340,True,2025-09-03T00:00:00,0,2,1,synthetic_calibrated_hourly
S03340,True,2025-09-03T01:00:00,1,2,1,synthetic_calibrated_hourly
S03340,True,2025-09-03T02:00:00,2,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T03:00:00,3,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T04:00:00,4,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T05:00:00,5,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T06:00:00,6,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T07:00:00,7,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T08:00:00,8,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T10:00:00,10,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T11:00:00,11,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T13:00:00,13,2,1,synthetic_calibrated_hourly
S03340,True,2025-09-03T14:00:00,14,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T15:00:00,15,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T16:00:00,16,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T17:00:00,17,2,1,synthetic_calibrated_hourly
S03340,True,2025-09-03T19:00:00,19,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T20:00:00,20,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T21:00:00,21,2,1,synthetic_calibrated_hourly
S03340,True,2025-09-03T22:00:00,22,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-03T23:00:00,23,2,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T00:00:00,0,3,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T01:00:00,1,3,2,synthetic_calibrated_hourly
S03340,True,2025-09-04T02:00:00,2,3,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T04:00:00,4,3,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T05:00:00,5,3,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T07:00:00,7,3,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T11:00:00,11,3,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T12:00:00,12,3,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T13:00:00,13,3,1,synthetic_calibrated_hourly
S03340,True,2025-09-04T14:00:00,14,3,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T15:00:00,15,3,1,synthetic_calibrated_hourly
S03340,True,2025-09-04T16:00:00,16,3,1,synthetic_calibrated_hourly
S03340,True,2025-09-04T17:00:00,17,3,2,synthetic_calibrated_hourly
S03340,True,2025-09-04T18:00:00,18,3,1,synthetic_calibrated_hourly
S03340,True,2025-09-04T21:00:00,21,3,1,synthetic_calibrated_hourly
S03340,True,2025-09-04T22:00:00,22,3,0,synthetic_calibrated_hourly
S03340,True,2025-09-04T23:00:00,23,3,1,synthetic_calibrated_hourly
S03340,True,2025-09-05T00:00:00,0,4,1,synthetic_calibrated_hourly
S03340,True,2025-09-05T01:00:00,1,4,1,synthetic_calibrated_hourly
S03340,True,2025-09-05T07:00:00,7,4,1,synthetic_calibrated_hourly
S03340,True,2025-09-05T08:00:00,8,4,1,synthetic_calibrated_hourly
S03340,True,2025-09-05T09:00:00,9,4,0,synthetic_calibrated_hourly
S03340,True,2025-09-05T11:00:00,11,4,0,synthetic_calibrated_hourly
S03340,True,2025-09-05T15:00:00,15,4,0,synthetic_calibrated_hourly
S03340,True,2025-09-05T16:00:00,16,4,1,synthetic_calibrated_hourly
S03340,True,2025-09-05T17:00:00,17,4,0,synthetic_calibrated_hourly
S03340,True,2025-09-05T19:00:00,19,4,1,synthetic_calibrated_hourly
S03340,True,2025-09-05T20:00:00,20,4,1,synthetic_calibrated_hourly
S03340,True,2025-09-05T21:00:00,21,4,1,synthetic_calibrated_hourly
S03340,True,2025-09-05T22:00:00,22,4,0,synthetic_calibrated_hourly
S03340,True,2025-09-05T23:00:00,23,4,0,synthetic_calibrated_hourly
S03340,True,2025-09-06T02:00:00,2,5,0,synthetic_calibrated_hourly
S03340,True,2025-09-06T03:00:00,3,5,0,synthetic_calibrated_hourly
S03340,True,2025-09-06T04:00:00,4,5,0,synthetic_calibrated_hourly
S03340,True,2025-09-06T05:00:00,5,5,0,synthetic_calibrated_hourly
S03340,True,2025-09-06T06:00:00,6,5,1,synthetic_calibrated_hourly
S03340,True,2025-09-06T08:00:00,8,5,1,synthetic_calibrated_hourly
S03340,True,2025-09-06T09:00:00,9,5,1,synthetic_calibrated_hourly
S03340,True,2025-09-06T11:00:00,11,5,0,synthetic_calibrated_hourly
S03340,True,2025-09-06T14:00:00,14,5,1,synthetic_calibrated_hourly
S03340,True,2025-09-06T15:00:00,15,5,0,synthetic_calibrated_hourly
S03340,True,2025-09-06T16:00:00,16,5,1,synthetic_calibrated_hourly
S03340,True,2025-09-06T17:00:00,17,5,0,synthetic_calibrated_hourly
S03340,True,2025-09-06T18:00:00,18,5,4,synthetic_calibrated_hourly
S03340,True,2025-09-06T19:00:00,19,5,1,synthetic_calibrated_hourly
S03340,True,2025-09-06T20:00:00,20,5,0,synthetic_calibrated_hourly
S03340,True,2025-09-06T22:00:00,22,5,2,synthetic_calibrated_hourly
S03340,True,2025-09-06T23:00:00,23,5,0,synthetic_calibrated_hourly
S03340,True,2025-09-07T00:00:00,0,6,0,synthetic_calibrated_hourly
S03340,True,2025-09-07T01:00:00,1,6,2,synthetic_calibrated_hourly
S03340,True,2025-09-07T03:00:00,3,6,0,synthetic_calibrated_hourly
S03340,True,2025-09-07T06:00:00,6,6,0,synthetic_calibrated_hourly
S03340,True,2025-09-07T07:00:00,7,6,0,synthetic_calibrated_hourly
S03340,True,2025-09-07T10:00:00,10,6,0,synthetic_calibrated_hourly
S03340,True,2025-09-07T11:00:00,11,6,0,synthetic_calibrated_hourly
S03340,True,2025-09-07T13:00:00,13,6,0,synthetic_calibrated_hourly
S03340,True,2025-09-07T15:00:00,15,6,1,synthetic_calibrated_hourly
S03340,True,2025-09-07T16:00:00,16,6,2,synthetic_calibrated_hourly
S03340,True,2025-09-07T17:00:00,17,6,2,synthetic_calibrated_hourly
S03340,True,2025-09-07T19:00:00,19,6,2,synthetic_calibrated_hourly
