blogger_id,gender,age,job,horoscope,post_date,text,is_teen,source,n_chars,n_words,avg_word_len,first_person_rate,school_token_rate,birthday_token_rate,exclaim_rate,slang_emoji_rate,post_ix
B1005545,male,25,Engineering,Sagittarius,"03,July,2003","Entrepreneur Guidelines urlLink EntreWorld is a website for entrepreneurs. It is a resourceful site for budding start-ups, discussing various dos and donts and giving practical advise for all stages of a start-up life cycle. urlLink Auren Hoffman 's recent article on Entrepreneurial Boards discusses the leadership engine for the evolutionary stages of a start-up. ""Boards of advisors are best for helping entrepreneurs build companies in the formative stage, whereas boards of directors lend a hand during times of crisis or change, writes a serial entrepreneur."" Read the full article urlLink here . A strong board of directors can make the difference between success and failure for a start-up company. And, an effective advisory board can help one recruit those directors. Specific examples, indicating the tasks a board can accomplish and the skills it can bring to them, make this article part",False,blog_authorship_corpus_2004,900,144,5.145833333333333,0.0,0.0,0.0,0.0,0.0,0
B1005545,male,25,Engineering,Sagittarius,"04,July,2003","Bohemian Rhapsody : Is it?? I have just come back to my room from the urlLink IIT coffee shack. The place, where we have shared laughters and joys, sat for long hours over countless cups of coffee and maggi and chat sessions. Where we have shared our thoughts and fought over stupid topics discussing them passionately. I have just come back from that very place, but with thoughts and feelings so different from what it used to be. Today the laughter has given way to a look of tension and frustration on everyone's face. ""Its so frustrating. There is no job. I am applying everywhere. No vacancies."" And then on the next table you hear, ""I am planning to go abroad on a scholarship. The job scene is really bad and I don't think I will get a nice job. Going for higher studies is the only option left in front of me."" And then a person comes who does have a job. Meeting him, I congratulate him. Bu",False,blog_authorship_corpus_2004,900,168,4.2023809523809526,0.05357142857142857,0.0,0.0,0.0022222222222222222,0.0,1
B1005545,male,25,Engineering,Sagittarius,"05,July,2003","B-Logs: The Business Blogs Paradox urlLink HindustanTimes.com discusses the effects of technology and blogs in particular. According to the article, Blogs are 'a direct, one-to-many vehicle for communicating ideas'. What makes them disruptive in business application is that they allow businesses - which are after all human -- to communicate with a human 'real voice'. On the other hand, urlLink Webpronews.com discusses the idea of corporate newsletter publishing via blogs. I found the idea very pragmatic and futuristic. Way to go !!",False,blog_authorship_corpus_2004,537,84,5.2023809523809526,0.011904761904761904,0.0,0.0,0.0037243947858473,0.0,2
B1015252,female,23,indUnk,Pisces,"30,May,2004",i think patti smith. not only will mama take you to school but she likes donuts. AND she in NY. this could totally work. everybody focus real hard. focus focus.,False,blog_authorship_corpus_2004,160,30,4.166666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0
B1015252,female,23,indUnk,Pisces,"30,May,2004","I move to acclaim Siousxie Sioux as Leader of The Free World. Anyone know her? She should come.... urlLink Siousxie & The Banshees :: Spellbound, live/Amsterdam/81 [mp3]",False,blog_authorship_corpus_2004,169,26,4.846153846153846,0.038461538461538464,0.0,0.0,0.005917159763313609,0.0,1
B1015252,female,23,indUnk,Pisces,"31,May,2004","aint no such things as halfway crooks. this is mostly to get you listening to mobb deep. this is also to let you know that it's either blind faith or it's just blind . we're not asking for much. we're asking for everything. harder, i suspect, to give it up piecemeal. consider this act of faith an act of kindness, also. bravely inviting you into our homes instead of invading yours. we've got a lot to talk about and a lot of listening to do. turn that shit up, is what i mean to say. the thing about conventionally accepted wisdom and caught phrases is that they can eat a dick. for instance, the saying the meek shall inherit the earth. this may be true, but who wants what's left over after the savages are through?",False,blog_authorship_corpus_2004,719,135,4.185185185185185,0.014814814814814815,0.0,0.0,0.0013908205841446453,0.0,2
B1016560,male,41,Publishing,Sagittarius,"24,July,2004",This is old news. Actually I first saw it mentionend on urlLink Blackbeltjones . There's since been some discussion as you can see in the comments to the urlLink original entry . Reading through the comments it seems there is a similar service for urlLink Google News . I haven't tested yet but thought I would put up here and let people comment on it. Check it out at urlLink Gnews2RSS at VoidStar.com .,False,blog_authorship_corpus_2004,404,72,4.486111111111111,0.041666666666666664,0.0,0.0,0.0,0.0,0
B1016560,male,41,Publishing,Sagittarius,"25,July,2004","Simple and well-considered&nbsp;""cut to the chase"" arguments why urlLink RSS is a nice thing for news-junkies. And why companies should publish RSS feeds.",False,blog_authorship_corpus_2004,154,27,4.592592592592593,0.0,0.0,0.0,0.0,0.0,1
B1016560,male,41,Publishing,Sagittarius,"27,July,2004","In his urlLink February 14, 2003 post Ray Matthews writes ""In this site, we'll monitor creative uses of RSS to provide information to the public above government information and services"". Ray has done this since February 2003 and a quick look around his site convinced me. Most of the posts are about US sites and feeds but there are links to news about foreign government RSS feeds like urlLink this one and urlLink this one .",False,blog_authorship_corpus_2004,428,72,4.666666666666667,0.013888888888888888,0.0,0.0,0.0,0.0,2
B1019622,female,24,indUnk,Aquarius,"23,November,2002","i've been trying to change the template for my blog for the past few days and i've been unsuccessful. it's very frustrating. i was able to do it once, but then when i wanted to change it again, it didn't work anymore. i did everything the same as that first time. it doesn't say anywhere that i can only change templates ONCE! does it? sigh. i better go check.",False,blog_authorship_corpus_2004,360,69,4.086956521739131,0.08695652173913043,0.0,0.0,0.005555555555555556,0.0,0
