blogger_id,age,is_teen,gender,job,n_posts,avg_word_len,first_person_rate,school_token_rate,birthday_token_rate,exclaim_rate,slang_emoji_rate,keyword_teen_flag,pct_active_school_hours,pct_active_evening,pct_active_late_night,weekend_weekday_session_ratio,sessions_per_day,avg_session_minutes,friend_count,account_age_days,share_short_video_views,share_news_views,night_notification_open_rate,label_teen
B1005545,25,False,male,Engineering,3,4.850198412698412,0.02182539682539682,0.0,0.0,0.001982205669356507,0.0,0,0.2463,0.3852,0.2097,0.465,2.0,18.0,437,3550,0.3176,0.1776,0.2291,0
B1015252,23,False,female,indUnk,3,4.399335232668566,0.028869895536562204,0.011111111111111112,0.0,0.0024359934491527515,0.0,1,0.2228,0.3619,0.0538,1.314,4.5,15.5,427,1634,0.4912,0.2615,0.1115,0
B1016560,41,False,male,Publishing,3,4.58179012345679,0.018518518518518517,0.0,0.0,0.0,0.0,0,0.3794,0.5135,0.0889,0.896,2.97,21.9,482,901,0.304,0.1792,0.0758,0
B1019622,24,False,female,indUnk,3,4.121689155422289,0.08479093786440113,0.0,0.0,0.007430555555555556,0.014492753623188406,0,0.3551,0.294,0.1061,1.311,5.05,22.4,487,92,0.3605,0.3558,0.0189,0
B1045831,23,False,male,Student,3,4.014139613676639,0.06676021029227215,0.00186219739292365,0.0,0.0,0.0,1,0.5009,0.2391,0.172,0.545,3.93,18.3,350,2517,0.4196,0.3752,0.1186,0
B1050060,24,False,female,Student,3,3.610071446169007,0.097620103473762,0.0,0.0,0.002820670143504789,0.0,0,0.1775,0.1843,0.1333,1.093,5.98,13.6,315,3540,0.4076,0.2429,0.1911,0
B1051122,17,True,female,Student,3,4.491292000180889,0.02115407226518338,0.007326007326007327,0.0,0.0038214554665571307,0.0,1,0.1708,0.3108,0.1312,1.518,7.87,30.7,166,542,0.4523,0.1328,0.0775,1
B1054833,24,False,female,indUnk,3,4.204561879461273,0.09212290262554605,0.0,0.0,0.001763235628266303,0.0,0,0.1622,0.2758,0.2081,0.943,6.08,9.5,448,1268,0.187,0.2393,0.2256,0
B1056232,17,True,female,indUnk,3,3.9896536212325686,0.10208030962747944,0.0,0.0,0.0011074197120708748,0.0,0,0.0898,0.4621,0.1231,1.431,6.85,40.0,111,914,0.3562,0.1561,0.3064,1
B105748,26,False,female,Student,3,4.361489137716528,0.03981959996171882,0.0,0.010390946502057614,0.007121820615796519,0.0,1,0.0946,0.4231,0.164,1.214,3.5,30.4,264,45,0.2847,0.0486,0.3176,0
B1060087,27,False,male,Arts,3,4.162731999069894,0.01782408247722075,0.0,0.0,0.0011111111111111111,0.0,0,0.1798,0.01,0.1142,0.806,3.77,12.1,188,155,0.4692,0.2988,0.1357,0
B106738,25,False,male,Internet,3,3.945690883190883,0.029914529914529916,0.0,0.0,0.004128912023648866,0.009882478632478632,0,0.3943,0.4439,0.1424,1.345,3.6,7.5,160,226,0.2185,0.5354,0.0761,0
B1070326,24,False,male,Government,3,3.903807969826951,0.06675739481946998,0.0,0.0,0.0005757052389176741,0.0,0,0.3165,0.3069,0.1033,1.184,3.69,7.2,582,4466,0.3442,0.4695,0.1644,0
B1084668,15,True,female,Student,3,4.435820190206155,0.03346328784925276,0.0,0.0,0.04092616026035165,0.0,0,0.1236,0.6112,0.1654,1.888,7.24,11.8,760,347,0.7841,0.2951,0.2585,1
B1084944,26,False,female,Arts,3,4.177894677066862,0.06388327456208251,0.0,0.007575757575757576,0.004074074074074075,0.0,1,0.3835,0.2078,0.0833,1.001,5.28,28.3,185,645,0.4102,0.034,0.1456,0
B1090235,17,True,female,indUnk,3,3.8490512017393734,0.07136568211837029,0.0,0.0,0.005925925925925926,0.005329138662471995,0,0.2626,0.2705,0.1681,1.181,6.01,34.0,426,932,0.734,0.1261,0.1965,1
