sample_site,site_key,sample_date,parameter,numeric_result,result_units,result_qualifier,latitude_degrees,longitude_degrees
Bow River Below Ghost Dam,SUR_BR-GD,2022-01-10 11:47:00,Nitrate (NO3-N),0.123,mg/L,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-01-10 11:47:00,Water Temperature (Field),0.5,°C,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-01-10 11:47:00,Dissolved Oxygen (Field),12.34,mg/L,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-01-10 11:47:00,Turbidity,0.96,NTU,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-01-10 11:47:00,pH,8.2,pH units,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-01-10 11:47:00,E.coli,1.0,MPN/100mL,<,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-01-10 11:47:00,Total Phosphorus (TP),0.004,mg/L,,51.22053,-114.70511
Bow River Highway 22 Bridge,SUR_BR-22,2022-01-10 12:36:00,E.coli,1.0,MPN/100mL,<,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-01-10 12:36:00,Total Phosphorus (TP),0.004,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-01-10 12:36:00,pH,8.2,pH units,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-01-10 12:36:00,Dissolved Oxygen (Field),12.44,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-01-10 12:36:00,Water Temperature (Field),0.0,°C,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-01-10 12:36:00,Nitrate (NO3-N),0.129,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-01-10 12:36:00,Turbidity,1.2,NTU,,51.18297,-114.48733
Bow River Cushing Bridge,SUR_BR-CB,2022-01-11 09:02:00,Total Phosphorus (TP),0.006,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-01-11 09:02:00,Nitrate (NO3-N),0.203,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-01-11 09:02:00,pH,8.2,pH units,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-01-11 09:02:00,E.coli,65.7,MPN/100mL,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-01-11 09:02:00,Water Temperature (Field),0.4,°C,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-01-11 09:02:00,Dissolved Oxygen (Field),11.99,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-01-11 09:02:00,Turbidity,1.1,NTU,,51.03857,-114.012943
Bow River Policemans Flats,SUR_BR-PF,2022-01-11 11:10:00,Total Phosphorus (TP),0.099,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-01-11 11:10:00,Nitrate (NO3-N),1.16,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-01-11 11:10:00,Water Temperature (Field),0.0,°C,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-01-11 11:10:00,E.coli,98.7,MPN/100mL,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-01-11 11:10:00,pH,8.1,pH units,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-01-11 11:10:00,Turbidity,3.1,NTU,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-01-11 11:10:00,Dissolved Oxygen (Field),11.67,mg/L,,50.841969,-113.951134
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-01-12 09:26:00,E.coli,1.0,MPN/100mL,<,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-01-12 09:26:00,Nitrate (NO3-N),0.134,mg/L,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-01-12 09:26:00,Water Temperature (Field),0.0,°C,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-01-12 09:26:00,Dissolved Oxygen (Field),12.12,mg/L,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-01-12 09:26:00,Turbidity,1.1,NTU,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-01-12 09:26:00,pH,8.2,pH units,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-01-12 09:26:00,Total Phosphorus (TP),0.003,mg/L,,51.100403,-114.270774
Bow River Pumphouse,SUR_BR-PH,2022-01-12 10:15:00,Water Temperature (Field),0.0,°C,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-01-12 10:15:00,Nitrate (NO3-N),0.151,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-01-12 10:15:00,Dissolved Oxygen (Field),12.2,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-01-12 10:15:00,pH,8.2,pH units,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-01-12 10:15:00,E.coli,9.6,MPN/100mL,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-01-12 10:15:00,Total Phosphorus (TP),0.004,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-01-12 10:15:00,Turbidity,1.2,NTU,,51.04665,-114.114456
Bow River Higgins Bridge,SUR_BR-HB,2022-01-12 11:07:00,Total Phosphorus (TP),0.054,mg/L,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-01-12 11:07:00,Water Temperature (Field),0.2,°C,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-01-12 11:07:00,Dissolved Oxygen (Field),12.05,mg/L,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-01-12 11:07:00,pH,8.1,pH units,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-01-12 11:07:00,Nitrate (NO3-N),0.738,mg/L,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-01-12 11:07:00,E.coli,139.1,MPN/100mL,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-01-12 11:07:00,Turbidity,2.0,NTU,,50.938753,-114.008639
Elbow River Above Bragg Creek,SUR_ER-BC,2022-01-17 09:54:00,E.coli,1.0,MPN/100mL,<,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-01-17 09:54:00,Nitrate (NO3-N),0.147,mg/L,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-01-17 09:54:00,pH,8.1,pH units,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-01-17 09:54:00,Turbidity,0.38,NTU,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-01-17 09:54:00,Dissolved Oxygen (Field),11.76,mg/L,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-01-17 09:54:00,Total Phosphorus (TP),0.002,mg/L,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-01-17 09:54:00,Water Temperature (Field),0.0,°C,,50.943802,-114.58
Elbow River Highway 22 Bridge,SUR_ER-22,2022-01-17 10:05:00,Total Phosphorus (TP),0.003,mg/L,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-01-17 10:05:00,pH,8.2,pH units,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-01-17 10:05:00,Turbidity,0.48,NTU,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-01-17 10:05:00,E.coli,1.0,MPN/100mL,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-01-17 10:05:00,Dissolved Oxygen (Field),12.17,mg/L,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-01-17 10:05:00,Nitrate (NO3-N),0.146,mg/L,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-01-17 10:05:00,Water Temperature (Field),0.0,°C,,51.032926,-114.465745
Elbow River Twin Bridges,SUR_ER-TB,2022-01-17 10:34:00,Turbidity,0.92,NTU,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-01-17 10:34:00,pH,8.1,pH units,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-01-17 10:34:00,E.coli,7.5,MPN/100mL,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-01-17 10:34:00,Total Phosphorus (TP),0.002,mg/L,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-01-17 10:34:00,Nitrate (NO3-N),0.145,mg/L,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-01-17 10:34:00,Dissolved Oxygen (Field),11.95,mg/L,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-01-17 10:34:00,Water Temperature (Field),0.1,°C,,51.01358,-114.23731
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-01-18 08:50:00,E.coli,22.6,MPN/100mL,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-01-18 08:50:00,Total Phosphorus (TP),0.005,mg/L,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-01-18 08:50:00,Nitrate (NO3-N),0.192,mg/L,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-01-18 08:50:00,Dissolved Oxygen (Field),11.84,mg/L,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-01-18 08:50:00,Turbidity,2.3,NTU,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-01-18 08:50:00,Water Temperature (Field),0.0,°C,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-01-18 08:50:00,pH,8.1,pH units,,50.991517,-114.146769
Elbow River Sandy Beach,SUR_ER-SYB,2022-01-18 09:21:00,Turbidity,0.93,NTU,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-01-18 09:21:00,E.coli,71.7,MPN/100mL,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-01-18 09:21:00,Total Phosphorus (TP),0.006,mg/L,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-01-18 09:21:00,pH,8.1,pH units,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-01-18 09:21:00,Water Temperature (Field),0.0,°C,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-01-18 09:21:00,Dissolved Oxygen (Field),10.98,mg/L,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-01-18 09:21:00,Nitrate (NO3-N),0.138,mg/L,,51.010237,-114.088008
Elbow River Stanley Park,SUR_ER-SP,2022-01-18 09:40:00,pH,8.1,pH units,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-01-18 09:40:00,Turbidity,1.0,NTU,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-01-18 09:40:00,Water Temperature (Field),0.0,°C,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-01-18 09:40:00,Total Phosphorus (TP),0.008,mg/L,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-01-18 09:40:00,E.coli,190.4,MPN/100mL,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-01-18 09:40:00,Nitrate (NO3-N),0.162,mg/L,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-01-18 09:40:00,Dissolved Oxygen (Field),13.05,mg/L,,51.018486,-114.070146
Elbow River 9th Ave Bridge,SUR_ER-9,2022-01-18 10:12:00,Water Temperature (Field),0.0,°C,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-01-18 10:12:00,Dissolved Oxygen (Field),17.18,mg/L,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-01-18 10:12:00,Total Phosphorus (TP),0.015,mg/L,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-01-18 10:12:00,Nitrate (NO3-N),0.284,mg/L,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-01-18 10:12:00,pH,8.1,pH units,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-01-18 10:12:00,Turbidity,9.6,NTU,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-01-18 10:12:00,E.coli,365.4,MPN/100mL,,51.044635,-114.042189
Bow River Below Ghost Dam,SUR_BR-GD,2022-02-14 10:48:00,Nitrate (NO3-N),0.133,mg/L,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-02-14 10:48:00,E.coli,1.0,MPN/100mL,<,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-02-14 10:48:00,Water Temperature (Field),0.9,°C,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-02-14 10:48:00,Dissolved Oxygen (Field),12.13,mg/L,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-02-14 10:48:00,Turbidity,0.53,NTU,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-02-14 10:48:00,pH,8.2,pH units,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-02-14 10:48:00,Total Phosphorus (TP),0.003,mg/L,,51.22053,-114.70511
Bow River Highway 22 Bridge,SUR_BR-22,2022-02-14 11:31:00,Total Phosphorus (TP),0.003,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-02-14 11:31:00,Water Temperature (Field),0.8,°C,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-02-14 11:31:00,Nitrate (NO3-N),0.138,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-02-14 11:31:00,Dissolved Oxygen (Field),12.09,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-02-14 11:31:00,Turbidity,0.55,NTU,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-02-14 11:31:00,pH,8.2,pH units,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-02-14 11:31:00,E.coli,1.0,MPN/100mL,<,51.18297,-114.48733
Bow River Cushing Bridge,SUR_BR-CB,2022-02-15 08:29:00,E.coli,137.4,MPN/100mL,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-02-15 08:29:00,Water Temperature (Field),0.3,°C,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-02-15 08:29:00,Dissolved Oxygen (Field),13.18,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-02-15 08:29:00,pH,8.2,pH units,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-02-15 08:29:00,Nitrate (NO3-N),0.215,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-02-15 08:29:00,Total Phosphorus (TP),0.005,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-02-15 08:29:00,Turbidity,0.97,NTU,,51.03857,-114.012943
Bow River Policemans Flats,SUR_BR-PF,2022-02-15 09:52:00,Nitrate (NO3-N),1.49,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-02-15 09:52:00,E.coli,42.0,MPN/100mL,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-02-15 09:52:00,pH,8.1,pH units,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-02-15 09:52:00,Total Phosphorus (TP),0.054,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-02-15 09:52:00,Water Temperature (Field),0.8,°C,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-02-15 09:52:00,Dissolved Oxygen (Field),12.11,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-02-15 09:52:00,Turbidity,1.2,NTU,,50.841969,-113.951134
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-02-16 09:15:00,pH,8.2,pH units,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-02-16 09:15:00,Turbidity,0.79,NTU,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-02-16 09:15:00,Water Temperature (Field),0.1,°C,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-02-16 09:15:00,E.coli,1.0,MPN/100mL,<,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-02-16 09:15:00,Total Phosphorus (TP),0.002,mg/L,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-02-16 09:15:00,Nitrate (NO3-N),0.141,mg/L,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-02-16 09:15:00,Dissolved Oxygen (Field),13.8,mg/L,,51.100403,-114.270774
Bow River Pumphouse,SUR_BR-PH,2022-02-16 09:51:00,Dissolved Oxygen (Field),12.93,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-02-16 09:51:00,Water Temperature (Field),0.0,°C,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-02-16 09:51:00,Nitrate (NO3-N),0.152,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-02-16 09:51:00,Total Phosphorus (TP),0.003,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-02-16 09:51:00,Turbidity,0.84,NTU,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-02-16 09:51:00,pH,8.2,pH units,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-02-16 09:51:00,E.coli,8.5,MPN/100mL,,51.04665,-114.114456
Bow River Higgins Bridge,SUR_BR-HB,2022-02-16 10:28:00,Nitrate (NO3-N),0.76,mg/L,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-02-16 10:28:00,Total Phosphorus (TP),0.022,mg/L,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-02-16 10:28:00,E.coli,37.9,MPN/100mL,,50.938753,-114.008639
